WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL       TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS        LB         
4033.315   0.0        8.43000    271.500    444.0000   2.591000   0.001000    19.02000   216.9000   423.7000   4316.000   
4033.163   67.2000    8.42000    278.200    447.9000   2.581000   0.005000    19.28000   226.2000   430.9000   4263.000   
4033.010   61.9000    8.42000    281.100    449.6000   2.578000   0.007000    19.32000   225.2000   420.0000   4205.000   
4032.858   70.0000    8.43000    280.900    447.9000   2.580000   0.005000    19.21000   226.5000   418.7000   4184.000   
4032.705   91.2000    8.42000    279.700    443.8000   2.579000   0.001000    19.10000   220.4000   427.1000   4201.000   
4032.553   113.2000   8.42000    278.700    441.9000   2.577000   0.0         19.15000   217.2000   418.4000   4228.000   
4032.400   122.1000   8.41000    278.000    443.3000   2.577000   0.001000    19.39000   217.2000   417.2000   4256.000   
4032.248   121.1000   8.43000    277.200    445.8000   2.582000   0.007000    19.52000   224.1000   423.3000   4256.000   
4032.096   119.5000   8.43000    274.500    448.8000   2.594000   0.013000    19.41000   226.6000   428.3000   4247.000   
4031.943   118.8000   8.41000    270.200    449.0000   2.607000   0.015000    19.11000   227.9000   425.1000   4235.000   
4031.791   119.1000   8.43000    267.900    446.8000   2.613000   0.013000    18.89000   223.8000   423.0000   4233.000   
4031.639   119.9000   8.41000    268.000    444.6000   2.613000   0.011000    18.93000   224.2000   427.5000   4247.000   
4031.486   120.0000   8.41000    266.600    444.4000   2.615000   0.016000    19.02000   226.3000   421.5000   4235.000   
4031.333   119.4000   8.49000    263.400    454.1000   2.623000   0.035000    18.96000   223.9000   418.2000   4252.000   
4031.181   119.0000   8.55000    264.500    479.8000   2.639000   0.068000    18.76000   228.0000   414.4000   4324.000   
4031.029   119.1000   8.57000    271.800    506.3000   2.661000   0.100000    18.48000   227.1000   406.1000   4378.000   
4030.876   119.0000   8.57000    277.900    516.2000   2.678000   0.114000    18.07000   228.2000   416.8000   4329.000   
