WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
4020.056   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4385.000   
4019.904   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4433.000   
4019.751   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4374.000   
4019.599   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4252.000   
4019.446   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4240.000   
4019.294   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4273.000   
4019.142   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4291.000   
4018.989   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4284.000   
4018.837   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4264.000   
4018.685   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4284.000   
4018.532   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4272.000   
4018.380   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4269.000   
4018.228   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4268.000   
4018.075   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4272.000   
4017.922   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4288.000   
4017.770   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4276.000   
4017.618   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4267.000   
4017.465   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4262.000   
4017.313   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4296.000   
4017.161   0.0          0.0        1.0000      1.0000      1.0000      1.0000      4322.000   
4017.008   0.0          0.0        38.3707     37.1535     1.0000      1.0000      4323.000   
4016.856   0.0          0.0        40.0867     38.7258     1.0000      1.0000      4291.000   
4016.703   0.0          0.0        41.8794     40.4576     45.9198     43.6516     4286.000   
4016.551   0.0          0.0        43.6516     41.9759     45.1856     43.4510     4259.000   
4016.398   0.0          0.0        44.3609     42.7563     45.3942     44.1570     4269.000   
4016.246   0.0          0.0        42.1696     41.0204     45.8142     43.3511     4279.000   
4016.094   0.0          0.0        39.9945     39.2645     39.5367     39.3550     4284.000   
4015.941   0.0          0.0        37.7572     37.1535     35.3997     35.2371     4310.000   
4015.789   0.0          0.0        35.3997     35.3183     34.1979     34.2768     4314.000   
4015.637   0.0          0.0        34.2768     34.0408     34.1193     33.8065     4317.000   
4015.484   0.0          0.0        31.9890     31.9890     33.9625     33.9625     4311.000   
4015.332   0.0          0.0        28.7740     28.9068     34.0408     33.2660     4305.000   
4015.179   0.0          0.0        25.2930     25.7632     23.9332     24.6604     4298.000   
4015.027   0.0          0.0        22.0800     22.8034     17.9061     19.0546     4294.000   
4014.875   0.0          0.0        19.1867     20.5116     16.9044     18.0717     4298.000   
4014.722   0.0          0.0        18.7932     20.7014     17.6604     19.1867     4310.000   
4014.570   0.0          0.0        20.9411     23.4963     19.6336     21.7771     4311.000   
4014.417   0.0          0.0        24.6604     28.1190     22.0800     25.6448     4308.000   
4014.265   0.0          0.0        26.9153     31.1889     28.5102     33.0370     4307.000   
4014.112   0.0          0.0        28.6418     33.4965     35.6451     41.2097     4306.000   
4013.960   0.0          0.0        29.9226     34.7536     28.9734     34.3558     4313.000   
4013.808   0.0          0.0        30.2691     35.2371     28.1838     33.2660     4321.000   
4013.655   0.0          0.0        30.4789     35.4813     28.5102     32.2849     4311.000   
4013.503   0.0          0.0        34.0408     39.3550     30.2691     35.1560     4313.000   
4013.351   0.0          0.0        37.1535     42.6580     36.8129     42.7563     4298.000   
4013.198   0.0          0.0        39.1742     44.9780     46.5586     53.3335     4306.000   
4013.046   0.0          0.0        40.1791     45.9198     43.6516     49.8884     4301.000   
4012.894   0.0          0.0        39.1742     44.5656     38.6367     43.9542     4298.000   
4012.741   0.0          30.5000    35.3183     40.2717     35.3997     39.9945     4297.000   
4012.588   0.0          32.4000    32.2107     36.8129     31.7687     36.1410     4297.000   
4012.436   0.0          37.5000    30.9030     35.6451     27.4789     31.6228     4295.000   
4012.284   0.0          44.5000    30.6196     35.7273     28.0543     32.5837     4296.000   
4012.131   0.0          49.2000    31.1172     36.7282     32.0627     38.0189     4291.000   
4011.979   0.0          49.9000    31.4775     37.5837     33.9625     40.4576     4291.000   
4011.827   0.0          48.8000    30.5492     36.7282     34.2768     41.1150     4296.000   
4011.674   0.0          47.6000    27.9898     33.8844     29.3089     35.8096     4294.000   
4011.521   0.0          46.8000    24.4343     29.7852     23.3884     28.5102     4318.000   
