WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3913.071   0.0        8.53000    9.18       0.0        0.0        0.0        0.0        0.0        4279.000   
3912.919   0.0        8.09000    6.14       0.0        0.0        0.0        0.0        0.0        4289.000   
3912.767   0.0        8.13000    6.25       0.0        0.0        0.0        0.0        0.0        4274.000   
3912.614   0.0        8.31000    9.62       0.0        0.0        0.0        0.0        0.0        4270.000   
3912.462   0.0        8.30000    20.42      0.0        0.0        0.0        0.0        0.0        4289.000   
3912.309   0.0        8.35000    46.99      0.0        0.0        0.0        0.0        0.0        4299.000   
3912.157   0.0        8.34000    55.98      0.0        0.0        0.0        0.0        0.0        4304.000   
3912.004   0.0        8.36000    71.94      0.0        0.0        0.0        0.0        0.0        4270.000   
3911.852   0.0        8.35000    91.83      0.0        0.0        0.0        0.0        0.0        4279.000   
3911.700   0.0        8.30000    100.93     0.0        0.0        0.0        0.0        0.0        4274.000   
3911.547   0.0        8.30000    92.90      0.0        0.0        0.0        0.0        0.0        4270.000   
3911.395   0.0        8.30000    73.96      0.0        0.0        0.0        0.0        0.0        4274.000   
3911.243   0.0        8.32000    58.88      0.0        0.0        0.0        0.0        0.0        4284.000   
3911.090   0.0        8.26000    50.93      0.0        0.0        0.0        0.0        0.0        4294.000   
3910.938   0.0        8.24000    45.92      0.0        0.0        0.0        0.0        0.0        4284.000   
3910.785   0.0        8.26000    43.95      0.0        0.0        0.0        0.0        0.0        4299.000   
3910.633   0.0        8.16000    46.99      0.0        0.0        0.0        0.0        0.0        4313.000   
3910.480   0.0        8.19000    50.93      0.0        0.0        0.0        0.0        0.0        4313.000   
3910.328   0.0        8.22000    52.00      72.30000   0.0        0.0        0.0        0.0        4304.000   
3910.176   0.0        8.16000    49.89      62.50000   0.0        0.0        0.0        0.0        4309.000   
3910.023   0.0        8.16000    49.89      57.60000   0.0        291.0000   0.0        0.0        4313.000   
3909.871   0.0        8.17000    72.95      57.30000   0.0        291.0000   0.0        0.0        4304.000   
3909.719   0.0        8.56000    109.90     59.00000   0.0        290.0000   0.0        413.0000   4318.000   
3909.566   0.0        10.81000   9.02       63.20000   0.0        293.0000   0.0        413.0000   4343.000   
3909.414   0.0        7.79000    3.06       62.50000   0.0        295.0000   0.0        413.0000   4396.000   
3909.261   0.0        7.52000    2.00       55.40000   0.0        298.0000   0.0        433.0000   4416.000   
3909.109   0.0        7.31000    2.07       50.80000   0.0        323.0000   0.0        425.0000   4401.000   
3908.957   0.0        7.63000    3.43       53.10000   0.0        321.0000   0.0        417.0000   4348.000   
3908.804   0.0        7.92000    8.85       57.70000   0.0        308.0000   400.0000   414.0000   4318.000   
3908.652   0.0        8.23000    29.44      61.40000   0.0        305.0000   400.0000   409.0000   4318.000   
3908.500   0.0        8.36000    8452.79    63.00000   290.0000   305.0000   401.0000   416.0000   4323.000   
3908.347   0.0        8.28000    6309.57    62.50000   290.0000   296.0000   400.0000   422.0000   4343.000   
3908.194   0.0        8.45000    2118.36    61.70000   290.0000   291.0000   412.0000   430.0000   4362.000   
3908.042   0.0        8.40000    42.95      60.90000   286.0000   294.0000   437.0000   427.0000   4372.000   
3907.890   0.0        8.38000    39.99      60.20000   282.0000   296.0000   408.0000   415.0000   4357.000   
3907.737   0.0        8.42000    34.99      60.30000   294.0000   305.0000   410.0000   418.0000   4367.000   
3907.585   0.0        8.41000    34.99      60.80000   299.0000   311.0000   413.0000   420.0000   4372.000   
3907.433   0.0        8.47000    36.98      60.60000   306.0000   316.0000   421.0000   425.0000   4362.000   
3907.280   0.0        8.44000    31.99      59.30000   301.0000   313.0000   428.0000   433.0000   4377.000   
3907.128   0.0        8.45000    26.36      58.30000   300.0000   311.0000   429.0000   439.0000   4377.000   
3906.975   0.0        8.41000    24.43      58.80000   299.0000   311.0000   425.0000   434.0000   4387.000   
3906.823   0.0        8.30000    27.04      60.60000   301.0000   310.0000   422.0000   431.0000   4382.000   
3906.670   0.0        8.36000    6441.69    63.40000   300.0000   311.0000   420.0000   428.0000   4411.000   
3906.518   0.0        8.64000    8892.01    65.39999   299.0000   307.0000   421.0000   429.0000   4435.000   
3906.366   0.0        8.44000    6998.42    66.09999   297.0000   310.0000   425.0000   432.0000   4411.000   
3906.213   0.0        8.53000    20.84      66.20000   301.0000   311.0000   427.0000   435.0000   4392.000   
3906.061   0.0        8.47000    15.42      65.50000   301.0000   312.0000   429.0000   439.0000   4372.000   
3905.909   74.4000    8.47000    13.71      63.80000   304.0000   314.0000   435.0000   445.0000   4392.000   
3905.756   68.9000    8.42000    13.34      61.20000   307.0000   318.0000   439.0000   445.0000   4396.000   
3905.604   60.0000    8.35000    13.90      58.40000   316.0000   328.0000   437.0000   444.0000   4396.000   
