WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3997.958   0.0        8.619999   383.71     0.0        0.0        0.0        0.0        0.0        4348.000   
3997.806   0.0        8.660000   344.35     0.0        0.0        0.0        0.0        0.0        4294.000   
3997.653   0.0        8.619999   270.40     0.0        0.0        0.0        0.0        0.0        4294.000   
3997.501   0.0        8.590000   220.80     0.0        0.0        0.0        0.0        0.0        4304.000   
3997.349   0.0        8.539999   182.81     0.0        0.0        0.0        0.0        0.0        4323.000   
3997.196   0.0        8.459999   153.82     0.0        0.0        0.0        0.0        0.0        4333.000   
3997.044   0.0        8.510000   183.65     0.0        0.0        0.0        0.0        0.0        4352.000   
3996.891   0.0        8.510000   256.45     0.0        0.0        0.0        0.0        0.0        4328.000   
3996.739   0.0        8.590000   291.74     0.0        0.0        0.0        0.0        0.0        4318.000   
3996.586   0.0        8.570000   254.68     0.0        0.0        0.0        0.0        0.0        4328.000   
3996.434   0.0        8.590000   171.79     0.0        0.0        0.0        0.0        0.0        4338.000   
3996.282   0.0        8.660000   132.74     0.0        0.0        0.0        0.0        0.0        4309.000   
3996.129   0.0        8.639999   205.59     0.0        0.0        0.0        0.0        0.0        4299.000   
3995.977   0.0        8.609999   310.46     0.0        0.0        0.0        0.0        0.0        4309.000   
3995.825   0.0        8.609999   329.61     0.0        0.0        0.0        0.0        0.0        4323.000   
3995.672   0.0        8.559999   245.47     0.0        0.0        0.0        0.0        0.0        4343.000   
3995.520   0.0        8.500000   146.89     0.0        0.0        0.0        0.0        0.0        4338.000   
3995.367   0.0        8.520000   104.95     0.0        0.0        0.0        0.0        0.0        4333.000   
3995.215   0.0        8.520000   91.83      0.0        0.0        0.0        0.0        0.0        4348.000   
3995.062   0.0        8.570000   87.90      0.0        0.0        0.0        0.0        0.0        4348.000   
3994.910   0.0        8.529999   113.76     0.0        0.0        0.0        0.0        0.0        4313.000   
3994.758   0.0        8.609999   150.66     0.0        0.0        0.0        0.0        0.0        4313.000   
3994.605   0.0        8.619999   165.96     0.0        0.0        0.0        0.0        0.0        4279.000   
3994.453   0.0        8.650000   145.88     0.0        0.0        0.0        0.0        0.0        4274.000   
3994.300   0.0        8.570000   127.94     0.0        0.0        0.0        0.0        0.0        4289.000   
3994.148   0.0        8.520000   133.97     0.0        0.0        0.0        0.0        0.0        4289.000   
3993.996   0.0        8.490000   161.81     0.0        0.0        0.0        0.0        0.0        4304.000   
3993.843   0.0        8.459999   187.93     0.0        0.0        0.0        0.0        0.0        4323.000   
3993.691   0.0        8.529999   178.65     59.20000   0.0        0.0        0.0        0.0        4357.000   
3993.539   0.0        8.539999   140.93     59.00000   0.0        0.0        0.0        0.0        4343.000   
3993.386   0.0        8.520000   93.97      59.00000   0.0        295.0000   0.0        0.0        4328.000   
3993.234   0.0        8.539999   98.86      58.80000   0.0        294.0000   0.0        0.0        4328.000   
3993.082   0.0        8.600000   174.98     58.50000   0.0        294.0000   0.0        412.0000   4250.000   
3992.929   0.0        8.609999   303.39     58.90000   0.0        290.0000   0.0        416.0000   4289.000   
3992.776   0.0        8.619999   493.17     60.00000   0.0        290.0000   0.0        419.0000   4313.000   
3992.624   0.0        8.629999   628.06     61.00000   0.0        287.0000   0.0        417.0000   4313.000   
3992.472   0.0        9.029999   24.43      61.80000   0.0        284.0000   0.0        416.0000   4313.000   
3992.319   0.0        8.600000   15.42      62.00000   0.0        284.0000   0.0        414.0000   4323.000   
3992.167   0.0        8.459999   14.93      61.20000   0.0        284.0000   425.0000   410.0000   4372.000   
3992.015   0.0        8.490000   21.28      60.10000   0.0        290.0000   421.0000   407.0000   4362.000   
3991.862   0.0        8.570000   34.51      59.40000   306.0000   294.0000   415.0000   405.0000   4357.000   
3991.710   0.0        8.570000   40.93      59.40000   305.0000   297.0000   408.0000   405.0000   4328.000   
3991.557   0.0        8.570000   41.98      59.90000   304.0000   298.0000   408.0000   411.0000   4338.000   
3991.405   0.0        8.590000   41.98      60.30000   300.0000   302.0000   412.0000   415.0000   4377.000   
3991.252   0.0        8.750000   39.99      60.50000   298.0000   299.0000   415.0000   422.0000   4333.000   
3991.100   0.0        8.740000   37.93      60.30000   296.0000   296.0000   420.0000   431.0000   4299.000   
3990.948   0.0        8.709999   36.98      59.90000   293.0000   290.0000   432.0000   430.0000   4304.000   
3990.795   0.0        8.650000   38.99      59.40000   294.0000   288.0000   432.0000   426.0000   4323.000   
3990.643   0.0        8.570000   43.95      59.10000   299.0000   289.0000   428.0000   418.0000   4352.000   
3990.491   0.0        8.570000   47.97      58.90000   303.0000   289.0000   424.0000   411.0000   4377.000   
3990.338   0.0        8.600000   48.98      58.10000   303.0000   290.0000   419.0000   405.0000   4377.000   
3990.186   0.0        8.570000   48.98      56.00000   304.0000   294.0000   413.0000   403.0000   4382.000   
3990.033   0.0        8.600000   49.89      54.10000   304.0000   295.0000   408.0000   404.0000   4362.000   
3989.881   0.0        8.609999   71.94      54.10000   300.0000   295.0000   405.0000   406.0000   4367.000   
3989.729   0.0        8.529999   2192.81    55.30000   294.0000   290.0000   404.0000   407.0000   4406.000   
3989.576   0.0        8.570000   6382.64    56.70000   290.0000   282.0000   404.0000   408.0000   4431.000   
3989.424   0.0        8.629999   8491.80    57.60000   286.0000   278.0000   404.0000   406.0000   4357.000   
3989.271   56.8000    8.680000   6382.64    58.00000   285.0000   274.0000   403.0000   403.0000   4313.000   
3989.119   59.3000    8.559999   2208.00    57.90000   282.0000   269.0000   407.0000   396.0000   4309.000   
3988.966   59.8000    8.510000   115.88     57.80000   279.0000   267.0000   409.0000   390.0000   4328.000   
3988.814   57.2000    8.520000   108.89     57.40000   282.0000   268.0000   404.0000   384.0000   4352.000   
3988.662   55.2000    8.539999   115.88     56.90000   289.0000   273.0000   395.0000   381.0000   4372.000   
3988.509   58.7000    8.559999   143.88     57.00000   294.0000   281.0000   390.0000   380.0000   4377.000   
3988.357   67.8000    8.559999   194.98     58.00000   295.0000   286.0000   392.0000   384.0000   4338.000   
3988.205   76.6000    8.559999   222.84     58.60000   288.0000   284.0000   395.0000   393.0000   4343.000   
3988.052   79.5000    8.629999   195.88     58.30000   286.0000   283.0000   401.0000   407.0000   4328.000   
3987.900   74.8000    8.629999   142.89     57.10000   284.0000   283.0000   403.0000   410.0000   4299.000   
3987.748   65.5000    8.619999   111.94     56.20000   284.0000   279.0000   402.0000   410.0000   4313.000   
3987.595   56.8000    8.609999   144.88     56.00000   285.0000   278.0000   407.0000   409.0000   4328.000   
3987.442   50.8000    8.590000   226.99     55.90000   284.0000   275.0000   412.0000   399.0000   4318.000   
3987.290   47.6000    8.520000   290.40     55.90000   287.0000   273.0000   407.0000   391.0000   4352.000   
3987.138   48.3000    8.510000   294.44     56.10000   291.0000   275.0000   401.0000   388.0000   4357.000   
3986.985   56.6000    8.520000   400.87     56.20000   292.0000   278.0000   394.0000   385.0000   4367.000   
3986.833   71.3000    8.510000   659.17     56.60000   291.0000   281.0000   394.0000   383.0000   4328.000   
3986.681   85.7000    8.559999   787.05     57.40000   285.0000   282.0000   395.0000   386.0000   4328.000   
3986.528   94.4000    8.590000   625.17     58.20000   284.0000   283.0000   393.0000   395.0000   4333.000   
3986.375   95.6000    8.629999   309.74     58.40000   283.0000   287.0000   394.0000   400.0000   4304.000   
3986.223   92.3000    8.639999   130.92     58.50000   283.0000   283.0000   394.0000   404.0000   4289.000   
3986.071   89.7000    8.650000   129.72     58.70000   282.0000   280.0000   394.0000   413.0000   4304.000   
3985.918   92.0000    8.570000   183.65     58.80000   281.0000   275.0000   402.0000   406.0000   4313.000   
3985.766   98.1000    8.559999   221.82     58.70000   281.0000   273.0000   412.0000   402.0000   4313.000   
3985.614   103.3000   8.570000   183.65     58.60000   285.0000   279.0000   413.0000   396.0000   4333.000   
3985.461   106.1000   8.529999   101.86     58.30000   293.0000   280.0000   413.0000   392.0000   4367.000   
3985.309   107.8000   8.529999   53.95      57.60000   301.0000   284.0000   410.0000   395.0000   4392.000   
3985.157   109.2000   8.520000   52.00      57.10000   302.0000   291.0000   407.0000   393.0000   4352.000   
3985.004   109.4000   8.510000   56.89      57.20000   300.0000   291.0000   401.0000   394.0000   4323.000   
3984.852   107.6000   8.609999   62.95      57.60000   296.0000   292.0000   401.0000   404.0000   4304.000   
3984.699   102.4000   8.639999   64.86      57.70000   289.0000   296.0000   399.0000   407.0000   4304.000   
3984.547   95.2000    8.629999   62.95      57.30000   286.0000   291.0000   402.0000   410.0000   4323.000   
3984.395   91.1000    8.609999   105.93     57.00000   284.0000   282.0000   409.0000   418.0000   4338.000   
3984.242   91.1000    8.570000   199.99     56.80000   283.0000   280.0000   412.0000   416.0000   4348.000   
3984.090   90.0000    8.600000   256.45     56.50000   289.0000   278.0000   419.0000   400.0000   4343.000   
3983.938   84.5000    8.539999   228.56     56.10000   289.0000   277.0000   415.0000   395.0000   4362.000   
3983.785   78.5000    8.490000   154.88     55.50000   292.0000   277.0000   412.0000   392.0000   4387.000   
3983.632   76.5000    8.480000   121.90     55.10000   298.0000   283.0000   410.0000   387.0000   4392.000   
3983.480   75.6000    8.520000   127.94     55.20000   299.0000   284.0000   406.0000   385.0000   4392.000   
3983.328   71.0000    8.520000   124.74     56.00000   298.0000   285.0000   397.0000   388.0000   4348.000   
3983.175   63.5000    8.590000   140.93     56.80000   295.0000   287.0000   392.0000   396.0000   4352.000   
3983.023   57.2000    8.609999   194.98     57.10000   287.0000   285.0000   392.0000   401.0000   4313.000   
3982.871   55.8000    8.600000   315.50     57.30000   279.0000   281.0000   393.0000   407.0000   4309.000   
3982.718   61.0000    8.600000   451.86     57.40000   277.0000   276.0000   397.0000   406.0000   4333.000   
3982.566   72.8000    8.570000   463.45     57.80000   277.0000   273.0000   402.0000   401.0000   4343.000   
3982.413   88.9000    8.529999   354.81     59.10000   279.0000   272.0000   403.0000   396.0000   4343.000   
3982.261   105.2000   8.500000   213.80     61.50000   282.0000   272.0000   401.0000   391.0000   4352.000   
3982.108   116.7000   8.570000   132.74     64.30000   287.0000   277.0000   403.0000   390.0000   4367.000   
3981.956   121.4000   8.689999   91.83      66.50000   290.0000   283.0000   406.0000   389.0000   4348.000   
3981.804   120.7000   8.629999   20.42      68.00000   296.0000   288.0000   409.0000   395.0000   4343.000   
3981.651   116.3000   8.570000   16.14      68.20000   299.0000   295.0000   411.0000   412.0000   4382.000   
3981.499   106.5000   8.619999   15.17      67.20000   301.0000   303.0000   417.0000   423.0000   4377.000   
3981.347   89.5000    8.639999   16.14      65.39999   302.0000   302.0000   425.0000   440.0000   4328.000   
3981.194   68.9000    8.559999   20.42      63.60001   305.0000   303.0000   431.0000   446.0000   4318.000   
3981.042   52.4000    8.590000   28.58      63.00000   313.0000   304.0000   436.0000   442.0000   4313.000   
3980.889   45.0000    8.539999   45.92      63.00000   316.0000   301.0000   446.0000   439.0000   4274.000   
3980.737   45.0000    8.539999   43.95      63.10000   315.0000   298.0000   452.0000   433.0000   4328.000   
3980.584   48.5000    8.590000   41.98      62.90000   316.0000   298.0000   450.0000   429.0000   4304.000   
3980.432   54.1000    8.559999   42.95      62.00000   317.0000   300.0000   445.0000   426.0000   4309.000   
3980.280   60.1000    8.590000   44.98      60.80000   317.0000   307.0000   438.0000   422.0000   4333.000   
3980.127   62.3000    8.600000   47.97      60.30000   312.0000   306.0000   428.0000   421.0000   4357.000   
3979.975   58.9000    8.609999   50.93      60.40000   305.0000   307.0000   419.0000   428.0000   4352.000   
3979.823   53.0000    8.609999   53.95      60.20000   297.0000   304.0000   411.0000   428.0000   4309.000   
3979.670   49.5000    8.570000   59.98      59.90000   291.0000   299.0000   410.0000   432.0000   4235.000   
3979.518   48.8000    8.590000   86.90      59.80000   286.0000   292.0000   412.0000   431.0000   4279.000   
3979.365   48.4000    8.529999   143.88     59.90000   285.0000   286.0000   414.0000   426.0000   4323.000   
