WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP         GR         CALI       ILD        SN         TENS       
M          MV         GAPI       IN         OHMM       OHMM       LB         
4043.068   0.0        0.0        0.0        100000.0   34.19794   3563.000   
4042.916   0.0        0.0        0.0        100000.0   33.72873   3564.000   
4042.764   0.0        0.0        0.0        100000.0   32.96097   3565.000   
4042.611   0.0        0.0        0.0        100000.0   32.21069   3571.000   
4042.459   0.0        0.0        0.0        100000.0   32.13660   3573.000   
4042.307   0.0        0.0        0.0        100000.0   32.13660   3584.000   
4042.154   0.0        0.0        0.0        100000.0   32.13660   3590.000   
4042.002   0.0        0.0        0.0        100000.0   32.13660   3619.000   
4041.849   0.0        0.0        0.0        4111.5     32.13660   3663.000   
4041.697   0.0        0.0        0.0        2992.3     32.13660   3723.000   
4041.544   0.0        0.0        0.0        2951.2     32.13660   3762.000   
4041.392   0.0        0.0        0.0        63.7       32.21069   3824.000   
4041.240   0.0        0.0        0.0        49.9       32.21069   3864.000   
4041.087   0.0        0.0        0.0        38.0       32.21069   3923.000   
4040.935   0.0        0.0        0.0        32.1       32.21069   3965.000   
4040.783   0.0        0.0        0.0        30.5       32.21069   4024.000   
4040.630   0.0        0.0        0.0        30.5       32.21069   4065.000   
4040.478   0.0        0.0        0.0        29.7       32.21069   4106.000   
4040.325   0.0        0.0        0.0        29.6       32.21069   4168.000   
4040.173   0.0        0.0        0.0        29.3       32.21069   4213.000   
4040.021   0.0        0.0        0.0        29.2       32.21069   4277.000   
4039.868   0.0        0.0        0.0        29.0       32.13660   4324.000   
4039.716   0.0        0.0        0.0        29.0       32.13660   4341.000   
4039.563   0.0        0.0        0.0        29.0       32.13660   4294.000   
4039.411   0.0        0.0        0.0        29.8       31.98895   4298.000   
4039.258   0.0        0.0        0.0        29.9       31.40508   4297.000   
4039.106   0.0        0.0        0.0        30.2       30.47895   4329.000   
4038.954   0.0        0.0        0.0        30.3       29.30893   4339.000   
4038.801   0.0        0.0        0.0        30.4       27.98981   4333.000   
4038.649   0.0        0.0        0.0        30.4       26.66859   4327.000   
4038.497   0.0        0.0        0.0        30.3       25.76321   4318.000   
4038.344   0.0        0.0        0.0        29.9       25.11886   4339.000   
4038.192   0.0        0.0        0.0        29.4       24.60368   4337.000   
4038.040   0.0        0.0        0.0        29.1       24.26610   4332.000   
4037.887   0.0        0.0        -2.38000   29.4       23.98833   4341.000   
4037.734   0.0        0.0        8.38000    29.7       23.87811   4342.000   
4037.582   0.0        0.0        8.35000    29.9       23.82319   4339.000   
4037.430   0.0        0.0        8.34000    30.0       23.76841   4320.000   
4037.277   0.0        0.0        8.35000    30.3       23.82319   4315.000   
4037.125   0.0        0.0        8.35000    30.3       23.82319   4315.000   
4036.973   0.0        0.0        8.35000    30.8       23.87811   4308.000   
4036.820   0.0        0.0        8.34000    31.3       24.04363   4327.000   
4036.667   0.0        0.0        8.34000    31.9       24.26610   4348.000   
4036.515   0.0        0.0        8.34000    32.7       24.60368   4371.000   
4036.363   0.0        0.0        8.35000    33.6       24.94594   4354.000   
4036.210   0.0        0.0        8.35000    35.0       25.40973   4331.000   
4036.058   0.0        0.0        8.35000    37.2       25.94180   4357.000   
4035.906   0.0        0.0        8.35000    39.7       26.54605   4371.000   
4035.753   0.0        0.0        8.36000    42.4       27.16439   4480.000   
