WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4045.050   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3563.000   
4044.897   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3573.000   
4044.745   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3553.000   
4044.592   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3607.000   
4044.440   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3568.000   
4044.288   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3576.000   
4044.135   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3555.000   
4043.983   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3538.000   
4043.831   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3543.000   
4043.678   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3557.000   
4043.526   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3553.000   
4043.374   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3553.000   
4043.221   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3560.000   
4043.068   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3561.000   
4042.916   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3560.000   
4042.764   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3560.000   
4042.611   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3563.000   
4042.459   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3568.000   
4042.307   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3566.000   
4042.154   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3566.000   
4042.002   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3584.000   
4041.849   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3586.000   
4041.697   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3586.000   
4041.544   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3591.000   
4041.392   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3645.000   
4041.240   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3699.000   
4041.087   0.0        -0.20000   0.0        0.0        0.0        0.0         -1.43000   0.0        0.0         3749.000   
4040.935   0.0        -0.20000   0.0        408.7000   2.607000   -0.057000   -1.43000   0.0        0.0         3776.000   
4040.783   0.0        -0.20000   242.400    325.0000   2.631000   -0.148000   -1.43000   0.0        0.0         3834.000   
4040.630   0.0        -4.47000   175.600    281.6000   2.687000   -0.196000   -0.31000   0.0        0.0         3884.000   
4040.478   0.0        8.24000    138.500    319.7000   2.729000   -0.150000   -3.18000   0.0        0.0         3940.000   
4040.325   0.0        8.16000    166.500    401.3000   2.709000   -0.059000   -3.16000   0.0        0.0         3998.000   
4040.173   0.0        8.16000    228.400    443.7000   2.662000   0.001000    -3.16000   0.0        0.0         4052.000   
4040.021   0.0        8.16000    258.700    444.4000   2.640000   0.016000    -3.16000   0.0        0.0         4081.000   
4039.868   0.0        8.17000    256.800    444.0000   2.640000   0.017000    -3.16000   0.0        0.0         4135.000   
4039.716   0.0        8.16000    255.600    443.6000   2.643000   0.016000    -3.16000   0.0        0.0         4195.000   
4039.563   0.0        8.16000    255.800    443.3000   2.643000   0.015000    -3.16000   0.0        0.0         4248.000   
4039.411   0.0        8.16000    256.000    441.7000   2.642000   0.013000    -3.16000   0.0        0.0         4308.000   
4039.258   0.0        8.17000    255.400    440.4000   2.641000   0.011000    -3.16000   0.0        0.0         4362.000   
4039.106   0.0        8.17000    255.100    440.1000   2.639000   0.010000    -3.16000   0.0        0.0         4340.000   
4038.954   0.0        8.16000    256.200    440.9000   2.635000   0.010000    -3.16000   0.0        0.0         4267.000   
4038.801   0.0        8.16000    258.200    441.7000   2.632000   0.011000    -3.16000   0.0        0.0         4275.000   
4038.649   0.0        8.16000    259.500    442.4000   2.631000   0.013000    -3.16000   0.0        0.0         4256.000   
4038.497   0.0        8.16000    259.100    443.9000   2.632000   0.015000    -3.16000   0.0        0.0         4252.000   
4038.344   0.0        8.16000    258.400    445.5000   2.635000   0.017000    -3.16000   0.0        0.0         4261.000   
4038.192   0.0        8.16000    258.000    446.0000   2.639000   0.018000    -3.16000   0.0        0.0         4245.000   
4038.040   0.0        8.17000    258.000    444.8000   2.640000   0.016000    3.38000    0.0        669.6000    4269.000   
4037.887   0.0        8.17000    258.100    442.3000   2.638000   0.012000    4.06000    546.0000   -121.2000   4270.000   
4037.734   0.0        8.16000    258.600    440.9000   2.632000   0.008000    4.72000    -4.4000    423.5000    4257.000   
4037.582   0.0        8.17000    259.800    439.8000   2.627000   0.006000    5.63000    224.7000   429.6000    4268.000   
4037.430   0.0        8.17000    260.500    438.9000   2.623000   0.005000    8.40000    230.1000   442.4000    4322.000   
4037.277   0.0        8.17000    260.300    440.9000   2.623000   0.010000    13.28000   230.3000   437.0000    4324.000   
4037.125   0.0        8.17000    258.700    445.7000   2.631000   0.018000    17.48000   223.0000   435.1000    4323.000   
4036.973   0.0        8.16000    256.300    448.3000   2.643000   0.022000    19.21000   234.1000   436.1000    4324.000   
4036.820   0.0        8.17000    255.000    445.0000   2.650000   0.018000    19.49000   227.7000   438.4000    4302.000   
4036.667   0.0        8.17000    255.300    439.2000   2.646000   0.010000    19.43000   229.7000   435.9000    4302.000   
4036.515   0.0        8.17000    256.400    437.0000   2.636000   0.006000    19.41000   225.3000   425.8000    4303.000   
4036.363   0.0        8.17000    256.300    439.2000   2.632000   0.009000    19.43000   227.4000   432.9000    4313.000   
4036.210   0.0        8.16000    255.200    443.0000   2.637000   0.015000    19.34000   234.0000   438.6000    4338.000   
4036.058   67.0000    8.17000    254.900    445.1000   2.644000   0.019000    19.21000   224.8000   430.9000    4319.000   
4035.906   52.2000    8.18000    255.200    444.5000   2.647000   0.018000    19.19000   225.9000   437.3000    4307.000   
4035.753   53.4000    8.17000    255.600    442.8000   2.645000   0.015000    19.36000   228.5000   432.5000    4319.000   
4035.601   73.3000    8.18000    255.800    442.1000   2.643000   0.014000    19.41000   232.0000   433.1000    4330.000   
4035.449   96.6000    8.18000    256.000    442.7000   2.641000   0.014000    19.34000   228.1000   438.6000    4324.000   
4035.296   104.9000   8.19000    256.700    443.1000   2.639000   0.015000    19.24000   226.5000   434.8000    4392.000   
4035.144   102.6000   8.19000    257.100    442.7000   2.639000   0.015000    19.28000   230.3000   431.2000    4456.000   
4034.991   102.3000   8.20000    256.300    441.6000   2.641000   0.014000    19.30000   229.6000   439.3000    4510.000   
4034.839   104.2000   8.18000    254.200    440.9000   2.645000   0.014000    19.28000   229.2000   426.1000    4564.000   
4034.687   105.4000   8.19000    252.200    440.8000   2.648000   0.014000    19.17000   228.8000   428.8000    4564.000   
4034.534   104.4000   8.19000    252.700    440.1000   2.647000   0.011000    19.02000   231.1000   430.7000    4619.000   
4034.382   102.1000   8.20000    254.600    438.7000   2.641000   0.007000    18.85000   231.8000   445.3000    4671.000   
4034.229   101.2000   8.19000    256.900    437.4000   2.632000   0.003000    18.85000   225.9000   428.1000    4724.000   
4034.077   103.2000   8.19000    258.800    436.8000   2.623000   0.0         19.00000   230.3000   436.6000    4782.000   
4033.924   106.2000   8.19000    260.300    436.2000   2.616000   0.0         19.13000   235.0000   434.0000    4821.000   
4033.772   109.0000   8.19000    261.000    435.7000   2.614000   0.0         19.08000   226.9000   434.4000    4445.000   
4033.620   110.5000   8.19000    259.800    435.7000   2.616000   0.0         18.95000   235.0000   434.2000    4224.000   
4033.467   110.4000   8.19000    257.700    435.7000   2.621000   0.0         18.82000   231.4000   426.5000    4201.000   
4033.315   108.9000   8.20000    257.200    435.9000   2.621000   -0.001000   18.65000   236.4000   440.5000    4222.000   
4033.163   106.2000   8.22000    260.800    437.4000   2.612000   -0.001000   18.44000   235.5000   428.3000    4264.000   
4033.010   104.1000   8.21000    266.500    441.8000   2.601000   0.002000    18.43000   228.8000   434.0000    4259.000   
4032.858   103.6000   8.21000    270.900    447.9000   2.596000   0.010000    18.69000   217.5000   428.1000    4291.000   
4032.705   104.6000   8.22000    273.300    451.7000   2.597000   0.015000    19.13000   228.1000   433.1000    4234.000   
4032.553   105.9000   8.22000    276.100    452.3000   2.596000   0.014000    19.52000   220.4000   436.2000    4234.000   
4032.400   107.2000   8.22000    279.400    451.1000   2.591000   0.013000    19.62000   235.1000   423.3000    4188.000   
4032.248   108.9000   8.22000    280.400    450.9000   2.588000   0.013000    19.45000   223.9000   431.6000    4186.000   
