WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
4018.075   9.75842    0.0        85.263     0.0        294.0000   432.0000   426.0000   64.50000   0.0        9932.008   1181.323   4215.404   
4017.922   9.75842    0.0        85.263     0.0        294.0000   432.0000   426.0000   64.50000   0.0        5120.283   937.378    4213.575   
4017.770   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        1226.282   747.430    4225.774   
4017.618   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        963.875    672.822    4234.925   
4017.465   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        103.743    714.929    4220.895   
4017.313   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        39.253     901.938    4203.814   
4017.161   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        22.132     75.592     4200.765   
4017.008   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        16.238     29.825     4202.595   
4016.856   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        14.170     18.286     4208.084   
4016.703   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        14.226     14.617     4216.015   
4016.551   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        14.199     13.132     4200.460   
4016.398   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        14.096     12.632     4198.020   
4016.246   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        13.947     11.522     4195.274   
4016.094   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        13.813     11.038     4192.529   
4015.941   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        13.898     11.851     4181.244   
4015.789   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        14.414     14.379     4181.244   
4015.637   9.75842    0.0        85.263     306.0000   294.0000   432.0000   426.0000   64.50000   0.0        15.460     18.716     4210.524   
