WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL         TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM         US         US         US         US         US/F       MS         OHMM       OHMM       LB         
5920.027   8.07603    37.4355    1.1446       293.0000   288.0000   407.0000   407.0000   58.41035   0.0        217.159    9750.037   5314.319   
5919.875   8.07603    37.0190    1.1452       293.0000   287.0000   407.0000   407.0000   58.46107   0.0        215.470    9750.037   5320.420   
5919.723   8.07603    36.6929    1.1441       293.0000   287.0000   407.0000   407.0000   58.50000   0.0        213.259    9750.037   5321.640   
5919.570   8.07718    36.4467    1.1424       293.0000   287.0000   407.0000   408.0000   58.47540   0.0        212.599    9750.037   5327.739   
5919.417   8.07718    36.8658    1.1422       293.0000   287.0000   408.0000   407.0000   58.41035   0.0        212.150    9750.037   5330.790   
5919.265   8.07718    37.3732    1.1447       293.0000   287.0000   407.0000   407.0000   58.33249   0.0        213.559    9750.037   5335.060   
5919.112   8.07718    37.6150    1.1484       293.0000   288.0000   407.0000   407.0000   58.31354   0.0        215.534    9750.037   5337.500   
5918.960   8.07603    37.1835    1.1503       293.0000   288.0000   407.0000   407.0000   58.41035   0.0        216.971    9750.037   5339.939   
5918.808   8.07603    36.3853    1.1500       293.0000   287.0000   407.0000   407.0000   58.49435   0.0        216.580    9750.037   5365.560   
5918.655   8.07374    35.9405    1.1503       294.0000   287.0000   407.0000   407.0000   58.48105   0.0        216.254    9750.037   5410.699   
5918.503   8.07259    35.5665    1.1525       293.0000   288.0000   408.0000   407.0000   58.36577   0.0        215.031    9750.037   5450.960   
5918.351   8.07144    35.5899    1.1549       294.0000   287.0000   407.0000   407.0000   58.22388   0.0        213.774    9750.037   5483.899   
5918.198   8.07144    35.8179    1.1540       293.0000   287.0000   407.0000   407.0000   58.15318   0.0        211.876    9750.037   5508.300   
5918.046   8.07259    36.7054    1.1526       293.0000   288.0000   407.0000   407.0000   58.17930   0.0        211.251    9750.037   5607.119   
5917.894   8.07144    37.4494    1.1547       294.0000   287.0000   407.0000   407.0000   58.26281   0.0        211.522    9750.037   5586.380   
5917.741   8.07259    37.8988    1.1591       294.0000   287.0000   407.0000   407.0000   58.36577   0.0        212.422    9750.037   5620.540   
5917.589   8.07259    37.3674    1.1603       294.0000   288.0000   407.0000   407.0000   58.44211   0.0        213.879    9750.037   5654.090   
5917.437   8.07489    36.5464    1.1603       294.0000   287.0000   408.0000   407.0000   58.43646   1.000000   214.905    9750.037   5690.080   
5917.284   8.07603    35.8338    1.1617       293.0000   287.0000   407.0000   407.0000   58.44211   0.0        213.557    9750.037   5731.560   
5917.132   8.07718    35.9386    1.1632       294.0000   287.0000   407.0000   407.0000   58.42931   0.0        211.982    9750.037   5762.060   
5916.979   8.07718    35.7185    1.1627       293.0000   288.0000   407.0000   407.0000   58.41035   0.0        211.787    9750.037   5797.439   
5916.826   8.07948    35.5068    1.1634       293.0000   287.0000   407.0000   407.0000   58.41035   0.0        211.400    9750.037   5837.090   
5916.674   8.08177    35.3825    1.1655       293.0000   287.0000   407.0000   407.0000   58.42931   0.0        212.763    9750.037   5873.080   
5916.521   8.08235    35.9147    1.1675       293.0000   288.0000   407.0000   407.0000   58.44211   0.0        215.227    9750.037   5906.020   
5916.369   8.08120    36.8420    1.1688       293.0000   287.0000   407.0000   407.0000   58.43646   0.0        216.668    9750.037   5933.470   
5916.217   8.08120    37.8193    1.1684       293.0000   287.0000   407.0000   407.0000   58.47388   0.0        217.456    9750.037   5973.119   
5916.064   8.08292    38.4060    1.1681       293.0000   288.0000   408.0000   407.0000   58.51895   0.0        218.023    9750.037   6007.279   
5915.912   8.08349    39.4863    1.1697       293.0000   287.0000   407.0000   407.0000   58.57069   0.0        218.553    9750.037   6039.000   
5915.760   8.08350    40.6575    1.1713       293.0000   287.0000   408.0000   407.0000   58.59681   0.0        220.616    9750.037   6071.939   
5915.607   8.08350    40.8064    1.1726       294.0000   287.0000   408.0000   407.0000   58.55788   0.0        223.562    9750.037   6102.439   
5915.455   8.08292    40.2015    1.1750       293.0000   287.0000   408.0000   407.0000   58.44211   0.0        226.263    9750.037   6132.939   
5915.303   8.08177    38.4592    1.1764       293.0000   287.0000   408.0000   407.0000   58.37141   0.0        228.486    9750.037   6168.015   
5915.150   8.08235    37.0805    1.1776       293.0000   287.0000   407.0000   407.0000   58.40318   0.0        229.716    9750.037   6203.699   
