WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         BIT        FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         GAPI       IN         CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5922.008   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5293.274   
5921.855   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5309.135   
5921.703   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5297.544   
5921.551   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5285.649   
5921.398   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5284.124   
5921.246   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5281.075   
5921.094   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5270.095   
5920.941   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5268.875   
5920.789   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5269.484   
5920.637   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5278.635   
5920.484   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5274.060   
5920.332   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5279.854   
5920.180   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5284.734   
5920.027   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5283.515   
5919.875   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5283.515   
5919.723   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5290.529   
5919.570   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5298.460   
5919.417   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5286.260   
5919.265   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5286.564   
5919.112   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5287.175   
5918.960   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5292.055   
5918.808   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5285.955   
5918.655   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5291.444   
5918.503   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5298.460   
5918.351   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5312.795   
5918.198   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5360.984   
5918.046   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5398.805   
5917.894   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5425.645   
5917.741   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5526.904   
5917.589   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5512.875   
5917.437   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5543.375   
5917.284   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5574.484   
5917.132   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5604.375   
5916.979   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5640.975   
5916.826   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5678.795   
5916.674   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5732.475   
5916.521   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5787.375   
5916.369   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5819.704   
5916.217   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5849.595   
5916.064   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5884.364   
5915.912   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5900.225   
5915.760   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5963.055   
5915.607   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     5988.369   
5915.455   -6.29996   0.0        8.500000   0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2197     6026.495   
5915.303   -6.29996   0.0        8.500000   0.0        0.0        2.854966   -3.901933   0.0        0.0        0.2197     6065.535   
5915.150   -6.29996   0.0        8.500000   0.0        54.7806    3.829720   -0.593390   0.0        0.0        0.2197     6103.354   
5914.998   -6.29996   0.0        8.500000   33.179     154.5309   3.788300   -0.436082   0.0        0.0        0.2197     6138.734   
5914.846   7.59323    0.0        8.500000   93.120     276.8868   3.063058   -0.160299   0.0        0.0        -2.8677    6161.915   
5914.693   7.58849    0.0        8.500000   166.750    376.7300   2.844076   -0.022237   0.0        0.0        -2.8668    6189.364   
5914.541   7.58591    0.0        8.500000   226.819    429.9642   2.697361   0.025520    0.0        0.0        -2.8664    6198.515   
5914.389   7.58591    0.0        8.500000   260.425    428.0496   2.608191   -0.005776   0.0        0.0        -2.8664    6200.345   
5914.236   7.59323    0.0        8.500000   261.095    425.3651   2.573154   -0.011488   0.0        0.0        -2.8677    6193.939   
5914.083   7.58360    0.0        8.500000   262.064    425.0457   2.570255   -0.012851   0.0        0.0        -2.8660    6197.295   
5913.931   7.58591    0.0        8.500000   262.591    427.1364   2.571502   -0.009196   0.0        0.0        -2.8664    6251.584   
5913.778   7.58360    0.0        8.500000   263.037    429.9069   2.574938   -0.004194   0.0        0.0        -2.8660    6286.354   
5913.626   7.58074    0.0        8.500000   262.157    430.3320   2.578208   -0.002705   0.0        0.0        -2.8655    6272.324   
5913.474   7.58591    0.0        8.500000   262.155    431.4920   2.578816   -0.000480   0.0        0.0        -2.8664    6246.095   
5913.321   7.58074    0.0        8.500000   263.199    430.5598   2.576717   -0.003060   0.0        0.0        -2.8655    6249.755   
5913.169   7.58074    0.0        8.500000   264.271    431.2966   2.574008   -0.002461   0.0        0.0        -2.8655    6193.635   
5913.017   7.57858    0.0        8.500000   265.337    431.8906   2.572637   -0.002128   0.0        0.0        -2.8652    6178.385   
5912.864   7.57858    0.0        8.500000   265.418    432.0867   2.572865   -0.001814   0.0        0.0        -2.8652    6174.115   
5912.712   7.58074    0.0        8.500000   263.203    430.0237   2.574462   -0.004094   0.0        0.0        -2.8655    6189.364   
5912.560   7.57858    0.0        8.500000   262.389    429.4529   2.575219   -0.004571   0.0        0.0        -2.8652    6189.364   
5912.407   7.58074    0.0        8.500000   261.819    427.4821   2.574943   -0.007939   0.0        0.0        100.4975   6194.244   
5912.255   7.58074    0.0        8.500000   261.194    427.0806   2.574715   -0.008239   0.0        83.7945    100.4975   6171.064   
5912.103   7.57858    0.0        8.500000   261.516    427.2912   2.576056   -0.008077   86.689     238.3426   100.4983   6230.234   
5911.950   7.57298    0.0        8.500000   261.370    429.5076   2.580001   -0.003689   243.691    425.0930   20.3743    6273.544   
5911.798   7.57858    0.0        8.500000   260.261    431.5072   2.585395   0.000997    435.271    578.4017   10.8744    6246.095   
5911.646   7.58074    0.0        8.500000   260.523    433.5576   2.588016   0.004715    592.520    662.9567   6.3559     6262.564   
5911.492   7.58074    0.0        8.500000   261.557    433.7357   2.585930   0.004262    680.047    664.2245   4.1230     6319.295   
5911.340   7.59747    0.0        8.500000   262.642    432.2145   2.579749   0.000533    681.633    664.0530   3.3643     6363.215   
5911.188   7.61951    0.0        8.500000   264.316    429.8049   2.572793   -0.005358   684.678    665.2416   3.2796     6399.510   
5911.035   7.68844    0.0        8.500000   264.584    428.4748   2.568815   -0.008122   686.735    662.9177   3.1179     6437.939   
