WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5918.046   0.0        0.0        0.0        0.0        0.0        0.0        0.0         0.0        0.0        0.0        0.0        
5917.894   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5450.350   
5917.741   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5450.350   
5917.589   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5478.715   
5917.437   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5520.500   
5917.284   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5554.659   
5917.132   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5590.345   
5916.979   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5617.795   
5916.826   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5647.075   
5916.674   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5689.164   
5916.521   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5783.104   
5916.369   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5772.734   
5916.217   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5796.524   
5916.064   -6.39996   8.500000   0.0        0.0        0.0        1.948198   -3.901933   0.0        0.0        0.2508     5834.040   
