WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN         DT         TT1        TT2        TT3        TT4        TENS   
M          GAPI       IN         OHMM       OHMM       US/F       US         US         US         US         LB     
1834.031   0.0        0.50000    100000.0   10.23293   0.0        0.0        0.0        0.0        0.0        0      
1833.878   0.0        0.50000    100000.0   10.25652   0.0        0.0        0.0        0.0        0.0        0      
1833.726   0.0        0.50000    100000.0   10.28016   0.0        0.0        0.0        0.0        0.0        0      
1833.573   0.0        0.50000    100000.0   10.28016   0.0        0.0        0.0        0.0        0.0        0      
1833.421   0.0        0.50000    100000.0   10.30386   0.0        0.0        0.0        0.0        0.0        1370   
1833.269   0.0        0.50000    100000.0   10.30386   0.0        0.0        0.0        0.0        0.0        1430   
1833.116   0.0        0.50000    5597.6     10.28016   0.0        0.0        0.0        0.0        0.0        1345   
1832.964   0.0        0.50000    1235.9     10.30386   0.0        0.0        0.0        0.0        0.0        1349   
1832.811   0.0        0.50000    979.5      10.32761   0.0        0.0        0.0        0.0        0.0        1351   
1832.659   0.0        0.50000    979.5      10.28016   0.0        0.0        0.0        0.0        0.0        1344   
1832.506   0.0        0.50000    14.7       10.30386   0.0        0.0        0.0        0.0        0.0        1349   
1832.354   0.0        0.50000    12.6       10.30386   0.0        0.0        0.0        0.0        0.0        1345   
1832.202   0.0        0.50000    10.5       10.32761   0.0        0.0        0.0        0.0        0.0        1350   
1832.049   0.0        0.50000    9.4        10.30386   0.0        0.0        0.0        0.0        0.0        1349   
1831.897   0.0        0.50000    9.0        10.32761   0.0        0.0        0.0        0.0        0.0        1347   
1831.744   0.0        0.50000    9.0        10.30386   0.0        0.0        0.0        0.0        0.0        1350   
1831.592   0.0        0.50000    8.7        10.32761   0.0        0.0        0.0        0.0        0.0        1349   
1831.440   0.0        0.50000    8.6        10.28016   0.0        0.0        0.0        0.0        0.0        1351   
1831.287   0.0        0.50000    8.5        10.30386   0.0        0.0        0.0        0.0        0.0        1353   
1831.135   0.0        0.50000    8.5        10.28016   0.0        0.0        0.0        0.0        0.0        1352   
1830.982   0.0        0.50000    8.5        10.30386   0.0        0.0        0.0        0.0        0.0        1361   
1830.830   0.0        0.50000    8.5        10.30386   0.0        0.0        0.0        0.0        0.0        1354   
1830.678   0.0        0.50000    8.5        10.28016   0.0        0.0        0.0        0.0        0.0        1353   
1830.525   0.0        0.50000    8.7        10.30386   0.0        0.0        0.0        0.0        0.0        1357   
1830.373   0.0        0.50000    8.8        10.28016   0.0        0.0        0.0        0.0        0.0        1358   
1830.220   0.0        0.50000    8.9        10.28016   0.0        0.0        0.0        0.0        0.0        1357   
1830.068   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1358   
1829.916   0.0        0.50000    8.9        10.28016   0.0        0.0        0.0        0.0        0.0        1363   
1829.763   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1363   
1829.611   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1364   
1829.458   0.0        0.50000    8.9        10.28016   0.0        0.0        0.0        0.0        0.0        1366   
1829.306   0.0        0.50000    8.9        10.28016   0.0        0.0        0.0        0.0        0.0        1366   
1829.154   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1370   
1829.001   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1369   
1828.849   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1372   
1828.697   0.0        0.50000    8.9        10.28016   0.0        0.0        0.0        0.0        0.0        1373   
1828.544   0.0        0.50000    8.9        10.30386   0.0        0.0        0.0        0.0        0.0        1374   
