WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN             DT          TT1        TT2        TT3         TT4         TENS   
M          GAPI       IN         OHMM       OHMM           US/F        US         US         US          US          LB     
1830.982   0.0        0.29000    1.0        1.00000        0.0         0.0        0.0        0.0         0.0         1333   
1830.830   0.0        0.29000    100000.0   1.00000        0.0         0.0        0.0        0.0         0.0         1353   
1830.678   0.0        0.29000    100000.0   10.37528       0.0         0.0        0.0        0.0         0.0         1359   
1830.525   0.0        0.29000    100000.0   10.37528       0.0         0.0        0.0        0.0         0.0         1350   
1830.373   0.0        0.29000    100000.0   10.35142       0.0         0.0        0.0        0.0         0.0         1355   
1830.220   0.0        0.29000    100000.0   10.35142       0.0         0.0        0.0        0.0         0.0         1353   
1830.068   0.0        0.29000    100000.0   10.37528       0.0         0.0        0.0        0.0         0.0         1358   
1829.916   0.0        0.29000    100000.0   10.37528       0.0         0.0        0.0        0.0         0.0         1358   
1829.763   0.0        0.29000    6792.0     10.37528       0.0         0.0        0.0        0.0         0.0         1358   
1829.611   0.0        0.29000    2606.2     10.37528       0.0         0.0        0.0        0.0         0.0         1364   
1829.458   0.0        0.29000    1442.1     10.35142       0.0         0.0        0.0        0.0         0.0         1366   
1829.306   0.0        0.29000    1088.9     10.35142       0.0         0.0        0.0        0.0         0.0         1365   
1829.154   0.0        0.29000    1009.3     10.35142       0.0         0.0        0.0        0.0         0.0         1376   
1829.001   0.0        0.29000    1009.3     10.37528       0.0         0.0        0.0        0.0         0.0         1378   
1828.849   0.0        0.29000    11.0       10.37528       0.0         0.0        0.0        0.0         0.0         1382   
1828.697   0.0        0.29000    10.5       10.37528       0.0         0.0        0.0        0.0         0.0         1382   
1828.544   0.0        0.29000    9.9        10.37528       0.0         0.0        0.0        0.0         0.0         1382   
1828.392   0.0        0.29000    9.5        10.35142       0.0         0.0        0.0        0.0         0.0         1385   
1828.239   0.0        0.29000    9.4        10.35142       0.0         0.0        0.0        0.0         0.0         1380   
1828.087   0.0        0.29000    9.4        10.35142       0.0         0.0        0.0        0.0         0.0         1383   
1827.935   0.0        0.29000    8.9        10.35142       0.0         0.0        0.0        0.0         0.0         1384   
1827.782   0.0        0.29000    8.9        10.42318       0.0         0.0        0.0        0.0         0.0         1388   
1827.630   0.0        0.29000    8.8        10.44720       0.0         0.0        0.0        0.0         0.0         1387   
1827.477   0.0        0.29000    8.8        10.37528       0.0         0.0        0.0        0.0         0.0         1421   
1827.325   0.0        0.29000    8.8        10.39920       0.0         0.0        0.0        0.0         0.0         1532   
1827.172   0.0        0.29000    8.8        10.39920       0.0         0.0        0.0        0.0         0.0         1649   
1827.020   0.0        0.29000    8.8        10.42318       0.0         0.0        0.0        0.0         0.0         1723   
1826.868   0.0        0.29000    9.2        10.39920       0.0         0.0        0.0        0.0         0.0         1834   
1826.715   0.0        0.29000    9.2        10.37528       0.0         0.0        0.0        0.0         0.0         1932   
1826.563   0.0        0.29000    9.2        10.23293       0.0         0.0        0.0        0.0         0.0         2033   
1826.410   0.0        0.29000    9.2        9.72747        0.0         0.0        0.0        0.0         0.0         2153   
1826.258   0.0        0.29000    9.2        9.37562        0.0         0.0        0.0        0.0         0.0         2244   
1826.106   0.0        0.29000    9.2        9.14113        0.0         0.0        0.0        0.0         0.0         2371   
1825.953   0.0        0.29000    9.2        8.97429        0.0         0.0        0.0        0.0         0.0         2242   
1825.801   0.0        0.29000    9.2        8.81049        0.0         0.0        0.0        0.0         0.0         2135   
1825.648   0.0        0.29000    9.2        8.72971        0.0         0.0        0.0        0.0         0.0         2200   
1825.496   0.0        0.29000    9.2        8.64968        0.0         0.0        0.0        0.0         0.0         2242   
1825.344   0.0        0.29000    9.2        8.59014        0.0         0.0        0.0        0.0         0.0         2207   
1825.191   0.0        0.29000    9.2        8.53100        0.0         0.0        0.0        0.0         0.0         2184   
1825.039   0.0        0.29000    9.2        8.45279        0.0         0.0        0.0        0.0         0.0         2190   
1824.886   0.0        0.29000    9.2        8.43335        0.0         0.0        0.0        0.0         0.0         2196   
1824.734   0.0        0.29000    9.2        8.45279        0.0         0.0        0.0        0.0         0.0         2187   
1824.582   0.0        0.29000    9.3        8.49181        0.0         0.0        0.0        0.0         0.0         2188   
1824.429   0.0        0.29000    9.5        8.55067        0.0         0.0        0.0        0.0         0.0         2203   
1824.277   0.0        0.29000    9.7        8.59014        0.0         0.0        0.0        0.0         0.0         2190   
1824.125   0.0        0.29000    10.0       8.62979        0.0         0.0        0.0        0.0         0.0         2183   
1823.972   0.0        0.29000    10.2       8.68960        0.0         0.0        0.0        0.0         0.0         2168   
1823.820   0.0        0.29000    10.3       8.74984        0.0         0.0        0.0        0.0         0.0         2152   
1823.667   0.0        0.29000    10.4       8.85116        0.0         0.0        0.0        0.0         0.0         2158   
1823.515   0.0        0.29000    10.5       8.93306        0.0         0.0        0.0        0.0         0.0         2164   
1823.363   0.0        0.29000    10.8       9.12011        0.0         0.0        0.0        0.0         0.0         2161   
1823.210   0.0        0.29000    11.1       9.31108        0.0         0.0        0.0        0.0         0.0         2160   
1823.058   0.0        0.29000    11.6       9.54993        0.0         0.0        0.0        0.0         0.0         2188   
1822.905   0.0        0.29000    11.9       9.86279        0.0         0.0        0.0        0.0         0.0         2176   
1822.753   0.0        0.29000    12.3       10.11580       0.0         0.0        0.0        0.0         0.0         2158   
1822.600   0.0        0.29000    12.7       10.32761       0.0         0.0        0.0        0.0         0.0         2195   
1822.448   0.0        0.29000    13.3       10.51962       68.39999    0.0        0.0        0.0         0.0         2175   
1822.296   0.0        0.29000    14.1       10.66596       77.89999    389.0000   378.0000   547.0000    554.0000    2145   
1822.143   0.0        0.29000    15.1       10.76465       82.80000    390.0000   378.0000   547.0000    554.0000    2159   
1821.991   0.0        0.29000    16.2       10.83927       83.00000    389.0000   378.0000   547.0000    553.0000    2166   
1821.838   0.0        0.29000    16.8       10.83927       83.00000    389.0000   378.0000   547.0000    553.0000    2159   
1821.686   0.0        0.29000    16.8       10.71519       83.00000    389.0000   379.0000   547.0000    554.0000    2158   
1821.534   0.0        0.29000    16.3       10.42318       82.89999    390.0000   379.0000   547.0000    554.0000    2168   
1821.381   0.0        0.29000    15.5       10.11580       82.80000    389.0000   378.0000   547.0000    554.0000    2162   
1821.229   0.0        0.29000    14.8       9.79490        82.80000    389.0000   379.0000   547.0000    553.0000    2159   
1821.076   0.0        0.29000    14.3       9.59401        82.89999    389.0000   379.0000   547.0000    554.0000    2163   
1820.924   0.0        0.29000    13.6       9.48418        83.00000    390.0000   378.0000   547.0000    554.0000    2163   
1820.772   0.0        0.29000    12.7       9.48418        83.00000    389.0000   378.0000   547.0000    554.0000    2161   
1820.619   0.0        0.29000    11.9       9.57194        83.00000    389.0000   378.0000   547.0000    554.0000    2157   
1820.467   0.0        0.29000    11.2       9.72747        82.89999    390.0000   378.0000   547.0000    554.0000    2156   
1820.314   0.0        0.29000    10.8       9.88553        82.70000    390.0000   378.0000   547.0000    554.0000    2155   
1820.162   0.0        0.29000    10.6       10.00000       82.70000    390.0000   378.0000   547.0000    554.0000    2159   
1820.010   0.0        0.29000    10.7       10.11580       82.89999    389.0000   379.0000   547.0000    553.0000    2163   
1819.857   0.0        0.29000    10.9       10.23293       82.89999    389.0000   379.0000   547.0000    554.0000    2190   
1819.705   0.0        0.29000    11.0       10.32761       82.80000    389.0000   378.0000   546.0000    554.0000    2205   
1819.552   0.0        0.29000    11.1       10.44720       82.89999    389.0000   378.0000   546.0000    554.0000    2198   
1819.400   0.0        0.29000    11.2       10.54387       82.80000    389.0000   379.0000   547.0000    553.0000    2163   
1819.248   0.0        0.29000    11.4       10.59254       82.80000    389.0000   378.0000   547.0000    554.0000    2146   
1819.095   0.0        0.29000    11.5       10.66596       82.89999    390.0000   378.0000   547.0000    553.0000    2160   
1818.943   0.0        0.29000    11.6       10.66596       83.00000    390.0000   379.0000   547.0000    553.0000    2166   
1818.791   0.0        0.29000    11.7       10.66596       83.00000    390.0000   378.0000   548.0000    553.0000    2163   
1818.638   0.0        0.29000    11.9       10.66596       83.00000    390.0000   379.0000   547.0000    554.0000    2157   
1818.486   0.0        0.29000    11.9       10.61696       83.00000    391.0000   379.0000   548.0000    554.0000    2157   
1818.333   0.0        0.29000    11.9       10.61696       83.00000    391.0000   379.0000   548.0000    554.0000    2153   
1818.181   0.0        0.29000    12.0       10.59254       83.20000    388.0000   381.0000   549.0000    554.0000    2154   
1818.029   0.0        0.29000    12.0       10.59254       84.00000    381.0000   381.0000   551.0000    549.0000    2155   
1817.876   0.0        0.29000    12.0       10.61696       84.70000    376.0000   382.0000   552.0000    549.0000    2156   
1817.724   0.0        0.29000    12.0       10.69055       84.39999    375.0000   386.0000   553.0000    550.0000    2156   
1817.571   0.0        17.64000   12.1       10.73989       82.50000    373.0000   392.0000   543.0000    549.0000    2164   
1817.419   0.0        17.64000   12.1       10.88930       79.70000    369.0000   398.0000   536.0000    548.0000    2167   
1817.266   0.0        17.62000   12.3       11.01539       76.89999    369.0000   404.0000   530.0000    548.0000    2160   
1817.114   0.0        17.64000   12.6       11.19438       75.50000    372.0000   406.0000   530.0000    549.0000    2152   
1816.962   0.0        17.62000   12.8       11.45513       75.59999    376.0000   402.0000   533.0000    551.0000    2163   
1816.809   0.0        17.64000   13.1       11.66810       75.59999    380.0000   395.0000   532.0000    544.0000    2169   
1816.657   0.0        17.63000   13.5       11.96741       75.09999    382.0000   385.0000   533.0000    537.0000    2163   
1816.504   0.0        17.63000   13.9       12.30269       74.09999    388.0000   375.0000   530.0000    530.0000    2160   
1816.352   0.0        17.62000   14.4       12.64736       72.59999    389.0000   367.0000   522.0000    526.0000    2156   
1816.200   0.0        17.64000   15.1       13.00170       71.00000    390.0000   364.0000   510.0000    527.0000    2158   
1816.047   0.0        17.64000   15.8       13.30454       70.39999    388.0000   364.0000   504.0000    530.0000    2157   
1815.895   0.0        17.64000   16.4       13.48963       71.00000    382.0000   362.0000   502.0000    529.0000    2157   
1815.742   0.0        17.63000   17.1       13.64583       72.59999    374.0000   364.0000   504.0000    531.0000    2159   
1815.590   0.0        17.62000   17.5       13.64583       74.30000    365.0000   369.0000   509.0000    528.0000    2156   
1815.438   0.0        17.62000   17.7       13.58314       75.70000    358.0000   372.0000   519.0000    518.0000    2154   
1815.285   39.2000    17.64000   17.7       13.45860       76.50000    357.0000   373.0000   524.0000    514.0000    2152   
1815.133   35.4000    17.63000   17.3       13.24342       76.89999    360.0000   372.0000   527.0000    515.0000    2156   
1814.980   33.8000    17.63000   16.8       13.00170       77.39999    366.0000   369.0000   530.0000    516.0000    2156   
1814.828   38.1000    17.64000   16.2       12.76439       77.89999    369.0000   366.0000   532.0000    518.0000    2156   
1814.676   45.6000    17.64000   15.6       12.53141       77.80000    369.0000   369.0000   531.0000    520.0000    2163   
1814.523   49.3000    17.63000   15.0       12.33105       76.70000    369.0000   376.0000   529.0000    522.0000    2163   
1814.371   48.1000    17.63000   14.5       12.10598       75.00000    376.0000   382.0000   531.0000    526.0000    2160   
1814.219   46.9000    17.64000   14.0       11.93988       73.50000    382.0000   385.0000   531.0000    529.0000    2158   
1814.066   46.9000    17.63000   13.7       11.74898       72.59999    386.0000   383.0000   532.0000    529.0000    2161   
1813.914   46.8000    17.63000   13.5       11.50801       72.80000    397.0000   379.0000   540.0000    527.0000    2162   
1813.761   45.9000    17.64000   13.4       11.32401       73.59999    414.0000   373.0000   557.0000    526.0000    2159   
1813.609   44.5000    17.63000   13.3       11.11732       74.20000    427.0000   369.0000   566.0000    528.0000    2154   
1813.457   43.8000    17.63000   13.1       10.88930       74.70000    434.0000   368.0000   570.0000    533.0000    2165   
1813.304   43.5000    17.63000   12.9       10.59254       75.20000    436.0000   366.0000   572.0000    533.0000    2172   
1813.152   43.0000    17.64000   12.7       10.32761       76.80000    429.0000   364.0000   570.0000    533.0000    2153   
1812.999   42.7000    17.64000   12.6       10.09253       80.80000    417.0000   366.0000   574.0000    541.0000    2148   
1812.847   43.5000    17.64000   12.5       9.93116        85.70000    406.0000   373.0000   573.0000    557.0000    2160   
1812.695   45.6000    17.63000   12.5       9.88553        89.70000    395.0000   382.0000   579.0000    566.0000    2161   
1812.542   48.3000    17.63000   12.5       9.88553        91.59999    387.0000   388.0000   577.0000    569.0000    2153   
1812.390   49.9000    17.63000   12.6       9.93116        90.50000    382.0000   399.0000   570.0000    572.0000    2156   
1812.237   50.1000    17.66000   12.8       10.06932       87.80000    383.0000   412.0000   565.0000    578.0000    2158   
1812.085   49.9000    17.78000   13.2       10.20940       86.00000    384.0000   416.0000   562.0000    583.0000    2159   
1811.932   49.3000    17.71000   13.6       10.32761       84.70000    388.0000   417.0000   561.0000    584.0000    2160   
1811.780   48.9000    17.71000   14.1       10.44720       83.09999    394.0000   415.0000   560.0000    580.0000    2160   
1811.628   49.7000    17.72000   14.6       10.59254       81.50000    395.0000   408.0000   556.0000    572.0000    2161   
1811.475   51.2000    17.75000   15.0       10.76465       80.39999    397.0000   399.0000   554.0000    564.0000    2163   
1811.323   51.8000    17.78000   15.5       10.96478       80.00000    400.0000   396.0000   556.0000    561.0000    2159   
1811.170   50.3000    17.89000   16.0       11.16863       80.20000    401.0000   395.0000   559.0000    559.0000    2154   
1811.018   48.6000    17.99000   16.5       11.37627       80.70000    401.0000   393.0000   562.0000    558.0000    2155   
1810.866   48.4000    17.99000   16.9       11.64126       80.00000    407.0000   391.0000   562.0000    557.0000    2155   
1810.713   48.3000    17.98000   17.1       11.93988       77.50000    410.0000   389.0000   557.0000    550.0000    2154   
1810.561   47.3000    17.97000   17.1       12.21800       75.09999    410.0000   387.0000   549.0000    547.0000    2155   
1810.408   45.7000    17.85000   17.1       12.47384       74.30000    406.0000   390.0000   540.0000    552.0000    2159   
1810.256   44.8000    17.88000   17.3       12.67652       75.59999    400.0000   393.0000   542.0000    558.0000    2158   
1810.104   45.8000    17.90000   17.6       12.82331       78.39999    393.0000   392.0000   546.0000    561.0000    2156   
1809.951   47.2000    17.88000   17.9       12.97179       80.39999    384.0000   395.0000   546.0000    559.0000    2156   
1809.799   47.6000    17.93000   18.1       13.09182       80.39999    375.0000   400.0000   543.0000    555.0000    2157   
