WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3        DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       OHMM       OHMM       US/F       US         US         US         US         LB         
2710.026   0.0        0.10000    1.0        100000.0   0.8670     0.0        0.0        0.0        0.0        0.0        3150.000   
2709.874   0.0        0.10000    1.0        100000.0   0.8670     0.0        0.0        0.0        0.0        0.0        3181.000   
2709.721   0.0        0.10000    1.0        100000.0   0.8670     0.0        0.0        0.0        0.0        0.0        3199.000   
2709.568   0.0        0.10000    1.0        100000.0   34.0408    0.0        0.0        0.0        0.0        0.0        3191.000   
2709.416   0.0        0.10000    1.0        1870.7     39.9945    0.0        0.0        0.0        0.0        0.0        3131.000   
2709.264   0.0        0.10000    1.0        1945.4     47.3151    0.0        0.0        0.0        0.0        0.0        3137.000   
2709.111   0.0        0.10000    1.0        2027.7     50.3501    0.0        0.0        0.0        0.0        0.0        3174.000   
2708.959   0.0        0.10000    1.0        2070.1     51.7607    0.0        0.0        0.0        0.0        0.0        3175.000   
2708.807   0.0        0.10000    1.0        2070.1     51.4044    0.0        0.0        0.0        0.0        0.0        3159.000   
2708.654   0.0        0.10000    100000.0   2027.7     50.2343    0.0        0.0        0.0        0.0        0.0        3143.000   
2708.502   0.0        0.10000    100000.0   1986.1     45.8142    0.0        0.0        0.0        0.0        0.0        3149.000   
2708.349   0.0        0.10000    100000.0   1986.1     38.4592    0.0        0.0        0.0        0.0        0.0        3183.000   
2708.197   0.0        0.10000    100000.0   1986.1     30.1301    0.0        0.0        0.0        0.0        0.0        3193.000   
2708.044   0.0        0.10000    100000.0   1909.9     26.0615    0.0        0.0        0.0        0.0        0.0        3155.000   
2707.892   0.0        0.10000    100000.0   19.1       26.3027    0.0        0.0        0.0        0.0        0.0        3128.000   
2707.740   0.0        0.10000    100000.0   19.1       26.3027    0.0        0.0        0.0        0.0        0.0        3128.000   
2707.587   0.0        0.10000    1905.5     19.7       27.2270    0.0        0.0        0.0        0.0        0.0        3152.000   
2707.435   0.0        0.10000    1905.5     19.7       27.2270    0.0        0.0        0.0        0.0        0.0        3152.000   
2707.283   0.0        0.10000    1566.8     20.0       28.5759    0.0        0.0        0.0        0.0        0.0        3208.000   
2707.130   0.0        0.10000    1253.1     20.0       37.0681    0.0        0.0        0.0        0.0        0.0        3192.000   
2706.978   0.0        0.10000    1049.5     19.4       49.4311    0.0        0.0        0.0        0.0        0.0        3154.000   
2706.825   0.0        0.10000    935.4      19.2       58.6138    0.0        0.0        0.0        0.0        0.0        3087.000   
2706.673   0.0        0.10000    883.1      19.3       58.7489    0.0        0.0        0.0        0.0        0.0        3082.000   
2706.521   0.0        0.10000    16.4       19.5       52.7230    0.0        0.0        0.0        0.0        0.0        3086.000   
2706.368   0.0        0.10000    16.2       19.4       43.5512    0.0        0.0        0.0        0.0        0.0        3071.000   
2706.216   0.0        0.10000    15.9       19.1       35.0752    0.0        0.0        0.0        0.0        0.0        3139.000   
2706.063   0.0        0.10000    15.7       18.9       32.5087    0.0        0.0        0.0        0.0        0.0        3155.000   
2705.911   0.0        0.10000    15.7       18.9       38.9045    0.0        0.0        0.0        0.0        0.0        3174.000   
2705.758   0.0        0.10000    15.9       19.3       51.5229    0.0        0.0        0.0        0.0        0.0        3183.000   
2705.606   0.0        0.10000    15.2       20.0       61.0942    0.0        0.0        0.0        0.0        0.0        3165.000   
2705.454   0.0        0.10000    15.5       21.1       68.8652    0.0        0.0        0.0        0.0        0.0        3161.000   
2705.301   0.0        0.10000    15.9       22.9       72.4436    0.0        0.0        0.0        0.0        0.0        3096.000   
2705.149   0.0        0.10000    16.4       24.8       74.8169    0.0        0.0        0.0        0.0        0.0        3064.000   
2704.997   0.0        0.10000    16.9       26.4       79.4328    0.0        0.0        0.0        0.0        0.0        3089.000   
2704.844   0.0        0.10000    17.5       27.5       85.5067    0.0        0.0        0.0        0.0        0.0        3129.000   
2704.692   0.0        0.10000    18.1       27.9       89.7429    0.0        0.0        0.0        0.0        0.0        3113.000   
2704.540   0.0        0.10000    19.5       27.5       79.6159    0.0        0.0        0.0        0.0        0.0        3136.000   
2704.387   0.0        0.10000    19.4       25.7       61.5177    0.0        0.0        0.0        0.0        0.0        3169.000   
2704.234   0.0        0.10000    18.8       23.1       41.9759    0.0        0.0        0.0        0.0        0.0        3174.000   
2704.082   0.0        0.10000    17.9       20.3       30.6902    0.0        0.0        0.0        0.0        0.0        3159.000   
2703.930   0.0        0.10000    16.9       18.0       25.1768    0.0        0.0        0.0        0.0        0.0        3146.000   
2703.777   0.0        0.10000    16.1       16.4       22.9087    0.0        0.0        0.0        0.0        0.0        3122.000   
2703.625   0.0        0.10000    15.6       15.5       20.5589    0.0        0.0        0.0        0.0        0.0        3146.000   
2703.473   0.0        0.10000    15.1       14.9       20.0909    0.0        0.0        0.0        0.0        0.0        3183.000   
2703.320   0.0        0.10000    14.6       14.8       23.3884    0.0        0.0        0.0        0.0        0.0        3168.000   
2703.167   0.0        0.10000    14.1       15.1       31.5500    0.0        0.0        0.0        0.0        0.0        3069.000   
2703.015   0.0        0.10000    13.8       16.0       41.2097    0.0        0.0        0.0        0.0        0.0        3085.000   
2702.863   0.0        0.10000    13.6       17.3       50.9331    0.0        0.0        0.0        0.0        0.0        3150.000   
2702.710   0.0        0.10000    13.6       18.7       53.9511    0.0        0.0        0.0        0.0        0.0        3166.000   
2702.558   0.0        0.10000    13.6       19.5       46.5586    0.0        0.0        0.0        0.0        0.0        3161.000   
2702.406   0.0        0.10000    13.6       19.4       37.2392    0.0        0.0        0.0        0.0        0.0        3159.000   
2702.253   0.0        0.10000    13.6       18.8       32.5087    0.0        0.0        0.0        0.0        0.0        3141.000   
2702.101   0.0        0.10000    13.6       18.4       37.4973    0.0        0.0        0.0        0.0        0.0        3120.000   
2701.949   0.0        0.10000    13.5       18.3       41.9759    0.0        0.0        0.0        0.0        0.0        3160.000   
2701.796   0.0        0.10000    13.3       18.4       44.8745    0.0        0.0        0.0        0.0        0.0        3179.000   
2701.644   0.0        0.10000    13.1       18.5       45.4988    0.0        0.0        0.0        0.0        0.0        3165.000   
2701.491   0.0        0.10000    13.0       18.8       43.7522    0.0        0.0        0.0        0.0        0.0        3086.000   
2701.339   0.0        0.10000    13.1       19.2       41.3048    0.0        0.0        0.0        0.0        0.0        3077.000   
2701.187   0.0        0.10000    13.4       19.9       39.0841    0.0        0.0        0.0        0.0        0.0        3127.000   
2701.034   0.0        0.10000    13.7       20.7       42.3643    0.0        0.0        0.0        0.0        0.0        3168.000   
2700.882   0.0        0.10000    14.0       21.7       58.2103    0.0        0.0        0.0        0.0        0.0        3161.000   
2700.729   0.0        0.10000    14.4       23.4       83.7529    0.0        0.0        0.0        0.0        0.0        3139.000   
2700.577   0.0        0.10000    14.8       25.6       109.3956   0.0        0.0        0.0        0.0        0.0        3130.000   
2700.424   0.0        0.10000    15.3       27.7       131.8256   0.0        0.0        0.0        0.0        0.0        3137.000   
2700.272   0.0        0.10000    15.8       28.9       146.8926   0.0        0.0        0.0        0.0        0.0        3109.000   
2700.120   0.0        0.10000    16.3       29.4       146.8926   0.0        0.0        0.0        0.0        0.0        3137.000   
2699.967   0.0        0.10000    16.6       29.0       132.7394   0.0        0.0        0.0        0.0        0.0        3124.000   
2699.815   0.0        0.10000    16.6       27.7       107.8947   0.0        0.0        0.0        0.0        0.0        3110.000   
2699.663   0.0        0.10000    16.2       25.9       90.1571    57.00000   0.0        0.0        0.0        0.0        3085.000   
2699.510   0.0        0.10000    15.4       24.0       73.9605    58.20000   0.0        352.0000   0.0        0.0        3080.000   
2699.358   0.0        0.10000    14.6       22.5       62.3735    59.40000   0.0        353.0000   0.0        0.0        3073.000   
2699.205   0.0        0.10000    14.0       20.9       52.2396    59.90000   0.0        356.0000   0.0        482.0000   3083.000   
2699.053   0.0        0.10000    13.6       19.5       46.9894    60.40000   0.0        350.0000   0.0        481.0000   3128.000   
2698.900   0.0        0.10000    13.3       18.5       48.3059    61.20000   0.0        346.0000   0.0        481.0000   3155.000   
2698.748   0.0        0.10000    13.0       18.0       58.3445    61.80000   0.0        354.0000   0.0        481.0000   3183.000   
2698.596   0.0        0.10000    12.8       18.1       66.6807    62.20000   0.0        356.0000   0.0        480.0000   3193.000   
2698.443   0.0        0.10000    12.7       18.6       69.1831    61.50000   0.0        361.0000   0.0        484.0000   3164.000   
2698.291   0.0        0.10000    12.6       19.2       61.2350    59.70000   0.0        369.0000   469.0000   482.0000   3110.000   
2698.139   0.0        0.10000    12.7       19.8       52.3600    59.20000   0.0        369.0000   478.0000   480.0000   3133.000   
2697.986   0.0        0.10000    12.8       20.0       46.3447    61.20000   362.0000   356.0000   482.0000   481.0000   3162.000   
2697.833   0.0        0.10000    13.1       20.1       44.6684    63.60001   364.0000   354.0000   476.0000   495.0000   3152.000   
2697.681   0.0        0.10000    13.5       20.0       45.3942    64.70000   368.0000   361.0000   471.0000   496.0000   3147.000   
2697.529   0.0        0.10000    13.9       19.9       46.5586    65.39999   364.0000   364.0000   481.0000   496.0000   3126.000   
2697.376   0.0        0.10000    14.3       20.0       47.9733    66.80000   351.0000   357.0000   493.0000   500.0000   3133.000   
