WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3418.991   0.0        0.02000    1.0        100000.0   0.9183      0.0        2965   
3418.838   0.0        0.02000    1.0        100000.0   0.9183      0.0        2954   
3418.686   0.0        0.02000    1.0        100000.0   0.9183      0.0        2953   
3418.533   0.0        0.02000    1.0        100000.0   283.7920    0.0        2956   
3418.381   0.0        0.02000    1.0        100000.0   168.2674    0.0        2963   
3418.229   0.0        0.02000    1.0        100000.0   62.5173     0.0        2961   
3418.076   0.0        0.02000    1.0        16218.1    63.9735     0.0        2961   
3417.924   0.0        0.02000    1.0        3899.4     65.0130     0.0        2973   
3417.771   0.0        0.02000    100000.0   2630.3     65.6145     0.0        2978   
3417.619   0.0        0.02000    100000.0   2376.8     66.0694     0.0        2981   
3417.466   0.0        0.02000    100000.0   2376.8     65.9174     0.0        3022   
3417.314   0.0        0.02000    100000.0   2376.8     66.3743     0.0        3074   
3417.162   0.0        0.02000    100000.0   2376.8     66.6807     0.0        3143   
3417.009   0.0        0.02000    100000.0   2376.8     66.8344     0.0        3201   
3416.857   0.0        0.02000    100000.0   89.1       66.0694     0.0        3259   
3416.705   0.0        0.02000    100000.0   62.8       66.0694     0.0        3327   
3416.552   0.0        0.02000    100000.0   40.5       66.3743     0.0        3383   
3416.400   0.0        0.02000    100000.0   29.1       66.8344     0.0        3444   
3416.248   0.0        0.02000    100000.0   24.6       66.5273     0.0        3493   
3416.095   0.0        0.02000    100000.0   23.3       66.0694     0.0        3537   
3415.942   0.0        0.02000    8128.3     23.2       66.3743     0.0        3593   
3415.790   0.0        0.02000    342.8      23.2       66.0694     0.0        3652   
3415.638   0.0        0.02000    397.2      23.2       66.5273     0.0        3709   
3415.485   0.0        0.02000    225.9      23.1       66.0694     0.0        3769   
3415.333   0.0        0.02000    95.1       23.0       66.6807     0.0        3826   
