~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 15:17 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1API_0001__PR_1API_0001__PR.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 15:16 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
CAL2 IN ----
RB ---- ----
GR ---- ----
CALI IN ----
#-----------------------------------------------------------------------------
M M IN ---- ---- IN
DEPT DEPT CAL2 RB GR CALI
~Ascii
4301.7948 4301.7930 7.5500 216.0000 0.0000 7.8500
4301.6424 4301.6424 7.5400 315.0000 0.0000 7.8500
4301.4900 4301.4900 7.5400 315.0000 0.0000 7.8500
4301.3376 4301.3376 7.5400 312.9405 0.0000 8.0500
4301.1852 4301.1852 7.5400 289.0000 0.0000 8.0700
4301.0328 4301.0328 7.5400 212.0000 0.0000 8.1300
4300.8804 4300.8804 7.5400 212.0000 0.0000 8.1300
4300.7280 4300.7280 7.6781 208.0000 0.0000 8.1881
4300.5756 4300.5756 8.1526 206.0000 0.0000 9.0100
4300.4232 4300.4232 8.3500 206.0000 0.0000 8.9800
4300.2708 4300.2708 8.3500 206.0000 0.0000 8.9700
4300.1184 4300.1184 8.3500 206.0000 0.0000 8.9900
4299.9660 4299.9660 8.3727 206.0000 0.0000 8.9727
4299.8136 4299.8136 7.7923 210.0000 0.0000 8.2223
4299.6612 4299.6612 7.7700 212.1552 0.0000 8.0900
4299.5088 4299.5088 7.8100 216.0000 0.0000 8.0900
4299.3564 4299.3564 7.8100 216.0000 0.0000 8.1300
4299.2040 4299.2040 7.8100 216.0000 0.0000 8.1300
4299.0516 4299.0516 7.8100 216.0000 0.0000 8.0477
4298.8992 4298.8992 7.7900 218.0000 0.0000 8.0200
4298.7468 4298.7468 7.8000 218.0000 0.0000 8.0700
4298.5944 4298.5944 7.8033 218.0000 0.0000 8.0767
4298.4420 4298.4420 7.8100 218.0000 0.0000 8.1700
4298.2896 4298.2896 7.9100 221.0000 0.0000 8.2900
4298.1372 4298.1372 7.8690 221.0000 0.0000 8.2790
4297.9848 4297.9848 8.0076 221.0000 0.0000 8.4251
4297.8324 4297.8324 8.4500 218.0000 0.0000 9.0100
4297.6800 4297.6800 8.4800 216.0000 0.0000 9.0100
4297.5276 4297.5276 8.4900 219.0000 0.0000 8.9800
4297.3752 4297.3752 8.5300 219.0000 0.0000 8.9700
4297.2228 4297.2228 8.5800 221.0000 0.0000 9.0097
4297.0704 4297.0704 8.5800 221.0000 0.0000 9.0100
4296.9180 4296.9180 8.0900 221.0000 0.0000 8.7100
4296.7656 4296.7656 8.3841 221.0000 0.0000 9.0400
4296.6132 4296.6132 8.3632 221.0000 0.0000 9.0900
4296.4608 4296.4608 8.3643 216.0000 20.9428 9.1100
4296.3084 4296.3084 8.5384 216.0000 21.3840 9.1200
4296.1560 4296.1560 8.6500 219.0000 22.5000 9.1200
4296.0036 4296.0036 8.6800 219.0000 21.9000 9.1300
4295.8512 4295.8512 8.2409 219.0000 22.0000 8.8973
4295.6988 4295.6988 8.0357 222.0000 23.2143 8.3843
4295.5464 4295.5464 8.2600 219.0000 23.9703 8.6630
4295.3940 4295.3940 8.1829 219.0000 23.8000 8.7129
4295.2416 4295.2416 8.0500 216.0000 24.9000 8.6400
4295.0892 4295.0892 8.1500 216.0000 26.4196 8.7100
4294.9368 4294.9368 8.5443 216.0000 30.5000 9.4172
4294.7844 4294.7844 8.8046 216.0000 32.8000 9.5400
4294.6320 4294.6320 8.8000 212.0000 32.3667 9.5400
4294.4796 4294.4796 8.8442 212.0000 29.5000 9.5142
4294.3272 4294.3271 8.3800 216.0000 25.1018 8.7001
4294.1748 4294.1748 8.7520 216.0000 23.6000 9.4080
4294.0224 4294.0224 8.9100 218.0000 23.6000 9.4800
4293.8700 4293.8700 8.9300 221.0000 23.9000 9.4700
4293.7176 4293.7176 8.9300 221.0000 24.3000 9.4700
4293.5652 4293.5652 8.8711 221.0000 23.9553 9.4700
4293.4128 4293.4128 8.5500 221.0000 23.3000 9.4700
4293.2604 4293.2604 8.7594 221.0000 23.1000 9.4700
4293.1080 4293.1080 8.5806 221.0000 22.5000 9.4300
4292.9556 4292.9556 8.3218 224.0000 22.3822 9.2536
4292.8032 4292.8032 8.0800 224.0000 22.5714 8.6500
4292.6508 4292.6508 8.1200 228.0000 23.3000 8.5800
4292.4984 4292.4984 8.7429 228.0000 23.3000 9.2055
4292.3460 4292.3460 8.8058 228.0000 23.3000 9.3222
4292.1936 4292.1936 8.9300 224.0000 22.2000 9.4000
4292.0412 4292.0412 8.9600 221.0000 20.5094 9.4700
4291.8888 4291.8888 8.9323 224.0000 18.1000 9.4223
4291.7364 4291.7364 8.1241 224.0000 18.0000 8.7920
4291.5840 4291.5840 7.9780 228.0000 18.3000 8.6420
4291.4316 4291.4316 7.9800 224.0000 18.5000 8.7442
4291.2792 4291.2792 8.1581 221.0000 19.3000 9.2381
4291.1268 4291.1268 8.4419 219.0000 19.6000 9.3600
4290.9744 4290.9744 8.5300 213.0000 19.3000 9.3600
4290.8220 4290.8220 8.5800 210.0000 19.1000 9.3600
4290.6696 4290.6696 8.5600 210.0000 18.9000 9.1833
4290.5172 4290.5172 8.3692 210.0000 18.7000 8.8892
4290.3648 4290.3648 8.1200 210.0000 19.1000 8.6400
4290.2124 4290.2124 8.0800 210.0000 19.2000 8.5600
4290.0600 4290.0600 8.2602 210.0000 20.6000 8.5651
4289.9076 4289.9076 8.4600 212.0000 22.5000 8.8677
4289.7552 4289.7552 8.5200 210.0000 23.5000 9.1200
4289.6028 4289.6028 8.4800 210.0000 23.4000 9.0400
4289.4504 4289.4504 8.3270 210.0000 20.9000 8.8370
