Lito            Codigo        Depth(m)        GR            RHOB            DT                SP 


arenito     49.0        4029.048        117.200 2.727000        59.20000        53.50000
arenito     49.0        4028.896        114.000 2.714000        59.00000        53.60000
arenito     49.0        4028.743        110.100 2.678000        59.00000        53.80000
arenito     49.0        4028.590        103.200 2.616000        58.80000        53.40000
arenito     49.0        4028.438        92.8000        2.555000        58.50000        53.80000
arenito     49.0        4028.286        84.5000        2.526000        58.90000        53.90000
arenito     49.0        4028.133        81.1000        2.537000        60.00000        53.70000
arenito     49.0        4027.981        77.8000        2.536000        61.00000        53.50000
arenito     49.0        4027.829        69.1000        2.414000        61.80000        54.00000
arenito     49.0        4027.676        56.9000        2.156000        62.00000        53.70000
arenito     49.0        4027.524        46.8000        1.875000        61.20000        53.70000
arenito     49.0        4027.371        40.2000        1.662000        60.10000        53.60000
arenito     49.0        4027.219        35.5000        1.531000        59.40000        53.90000
arenito     49.0        4027.066        33.0000        1.466000        59.40000        53.00000
arenito     49.0        4026.914        32.7000        1.447000        59.90000        52.00000
arenito     49.0        4026.762        33.6000        1.448000        60.30000        51.00000
arenito     49.0        4026.609        34.2000        1.452000        60.50000        50.30000
arenito     49.0        4026.457        34.4000        1.460000        60.30000        50.50000
arenito     49.0        4026.305        35.2000        1.487000        59.90000        51.10000
arenito     49.0        4026.152        36.6000        1.550000        59.40000        50.50000
arenito     49.0        4026.000        37.8000        1.647000        59.10000        50.20000
arenito     49.0        4025.847        38.4000        1.739000        58.90000        50.50000
arenito     49.0        4025.695        38.0000        1.781000        58.10000        50.20000
arenito     49.0        4025.542        37.1000        1.764000        56.00000        48.80000
arenito     49.0        4025.390        36.0000        1.719000        54.10000        48.40000
arenito     49.0        4025.238        35.5000        1.678000        54.10000        48.00000
arenito     49.0        4025.085        35.6000        1.650000        55.30000        47.00000
arenito     49.0        4024.933        35.3000        1.630000        56.70000        44.50000
arenito     49.0        4024.781        34.0000        1.613000        57.60000        42.70000
arenito     49.0        4024.628        31.8000        1.603000        58.00000        43.80000
arenito     49.0        4024.476        30.7000        1.614000        57.90000        44.50000
arenito     49.0        4024.323        31.7000        1.668000        57.80000        45.60000
arenito     49.0        4024.171        32.9000        1.754000        57.40000        45.30000
arenito     49.0        4024.019        33.1000        1.802000        56.90000        45.40000
arenito     49.0        4023.866        32.6000        1.756000        57.00000        45.10000
arenito     49.0        4023.714        32.6000        1.646000        58.00000        43.80000
arenito     49.0        4023.562        32.7000        1.551000        58.60000        40.80000
arenito     49.0        4023.409        32.2000        1.504000        58.30000        38.60000
arenito     49.0        4023.256        32.0000        1.489000        57.10000        37.50000
arenito     49.0        4023.104        32.1000        1.480000        56.20000        36.90000
arenito     49.0        4022.952        32.0000        1.469000        56.00000        36.10000
arenito     49.0        4022.799        31.3000        1.458000        55.90000        33.90000
arenito     49.0        4022.647        30.3000        1.452000        55.90000        31.00000
arenito     49.0        4022.495        29.2000        1.449000        56.10000        27.60000
arenito     49.0        4022.342        28.4000        1.445000        56.20000        24.90000
arenito     49.0        4022.190        28.0000        1.443000        56.60000        22.20000
arenito     49.0        4022.037        27.8000        1.443000        57.40000        19.10000
