~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3193.2372 3193.2372 -999.2500 0.0201 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500 -999.2500
3193.0848 3193.0848 -999.2500 0.0201 -999.2500 2.4980 -0.0000 -0.0000 -999.2500 -999.2500
3192.9324 3192.9324 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3192.7800 3192.7800 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3192.6276 3192.6276 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3192.4752 3192.4752 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3192.3228 3192.3228 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0009 -999.2500 -999.2500
3192.1704 3192.1704 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0001 -999.2500 -999.2500
3192.0180 3192.0180 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.8656 3191.8656 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.7132 3191.7132 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.5608 3191.5608 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.4084 3191.4084 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.2560 3191.2560 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3191.1036 3191.1036 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3190.9512 3190.9512 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3190.7988 3190.7988 -999.2500 0.0201 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3190.6464 3190.6464 -999.2500 -0.0518 -999.2500 2.4980 0.0000 0.0000 -999.2500 -999.2500
3190.4940 3190.4940 -999999.9999 0.0173 -999999.9999 0.0931 -0.0483 -0.2420 -999.2500 -999.2500
3190.3416 3190.3416 58.8304 0.0201 9.2346 2.4051 -0.0019 -0.0093 -999.2500 -999.2500
3190.1892 3190.1892 58.9213 0.0201 9.1868 2.4980 0.0000 0.0000 -999.2500 -999.2500
3190.0368 3190.0368 58.9720 0.0201 9.1852 2.4980 0.0000 0.0000 -999.2500 -999.2500
3189.8844 3189.8844 58.9735 0.0201 9.1852 2.4980 0.0000 0.0000 -999.2500 -999.2500
3189.7320 3189.7320 58.9735 0.0201 9.1852 2.4279 0.0000 0.0693 -999.2500 -999.2500
3189.5796 3189.5796 58.7823 0.0201 9.1852 2.4964 -0.0151 0.0300 -999.2500 -999.2500
3189.4272 3189.4272 58.8738 -5.4209 9.2336 2.5608 -0.0007 0.0468 -999.2500 -999.2500
3189.2748 3189.2748 58.9717 21.7641 9.1861 2.5885 0.0165 0.0569 -999.2500 -999.2500
3189.1224 3189.1224 58.8290 31.2128 9.1852 2.6018 0.0286 0.0788 -999.2500 -999.2500
3188.9700 3188.9700 58.9235 33.7941 9.1852 2.5971 0.0339 0.0821 -999.2500 -999.2500
3188.8176 3188.8176 58.9729 34.4895 9.1852 2.5871 0.0354 0.0871 -999.2500 -999.2500
