~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:18 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1TP__0003__SC_1TP__0003__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:49 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3254.3496 3254.3496 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3254.1972 3254.1972 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3254.0448 3254.0448 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.8924 3253.8924 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.7400 3253.7400 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.5876 3253.5876 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.4352 3253.4352 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.2828 3253.2828 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3253.1304 3253.1304 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3252.9780 3252.9780 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3252.8256 3252.8256 -999.2500 -999.2500 -0.0851 2.5010 -0.0002 0.0000 -999.2500 -999.2500
3252.6732 3252.6732 -999.2500 -999.2500 -0.0851 2.5010 -0.0000 0.0000 -999.2500 -999.2500
3252.5208 3252.5208 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3252.3684 3252.3684 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3252.2160 3252.2160 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3252.0636 3252.0636 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.9112 3251.9112 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.7588 3251.7588 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.6064 3251.6064 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.4540 3251.4540 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.3016 3251.3016 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3251.1492 3251.1492 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.9968 3250.9968 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.8444 3250.8444 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.6920 3250.6920 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.5396 3250.5396 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.3872 3250.3872 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.2348 3250.2348 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
3250.0824 3250.0824 -999.2500 -999.2500 -0.0851 2.5010 0.0000 0.0000 -999.2500 -999.2500
