Rock Code Depth1(m) RHOB GR SP DT
ARENITO 49.0 2800.0452 2.5419 64.5608 10.7031 61.0527
ARENITO 49.0 2800.1976 2.5247 67.5673 9.4495 61.6478
ARENITO 49.0 2800.35 2.5289 68.2598 6.6064 62.4102
ARENITO 49.0 2800.5024 2.5283 65.644 3.1245 63.2825
ARENITO 49.0 2800.6548 2.526 61.1716 0.5405 63.8535
ARENITO 49.0 2800.8072 2.5276 58.168 -1.0335 63.7799
ARENITO 49.0 2800.9596 2.5315 57.7493 -1.8842 63.4601
ARENITO 49.0 2801.112 2.5204 57.2938 -1.8066 63.2726
ARENITO 49.0 2801.2644 2.5179 56.8038 -1.638 63.3966
ARENITO 49.0 2801.4168 2.5212 57.7184 -1.8746 63.9142
ARENITO 49.0 2801.5692 2.521 59.7534 -3.0128 64.3685
ARENITO 49.0 2801.7216 2.5159 61.5508 -5.3053 64.6025
ARENITO 49.0 2801.874 2.5163 62.7065 -8.1097 64.8195
ARENITO 49.0 2802.0264 2.5077 63.8653 -10.1733 64.9544
ARENITO 49.0 2802.1788 2.4953 64.2235 -11.2433 64.9209
ARENITO 49.0 2802.3312 2.5061 63.6184 -11.9006 65.1216
ARENITO 49.0 2802.4836 2.5451 62.8175 -12.6454 65.472
ARENITO 49.0 2802.636 2.5658 61.8566 -13.9639 65.8078
ARENITO 49.0 2802.7884 2.5601 60.3516 -15.1059 66.4454
ARENITO 49.0 2802.9408 2.5411 57.3757 -15.2589 67.2616
ARENITO 49.0 2803.0932 2.5162 54.4863 -14.2473 67.8261
ARENITO 49.0 2803.2456 2.4994 52.6326 -12.0986 68.0507
ARENITO 49.0 2803.398 2.4717 53.1725 -9.7193 67.8445
ARENITO 49.0 2803.5504 2.4601 55.1564 -7.5829 67.2824
ARENITO 49.0 2803.7028 2.463 57.1084 -5.8739 66.4307
ARENITO 49.0 2803.8552 2.476 58.5888 -5.353 65.8328
ARENITO 49.0 2804.0076 2.4878 59.2125 -6.0945 65.7919
ARENITO 49.0 2804.16 2.4914 59.0803 -6.5635 66.1626
ARENITO 49.0 2804.3124 2.5066 57.339 -6.2908 67.0056
ARENITO 49.0 2804.4648 2.5087 55.3054 -5.3658 67.692
ARENITO 49.0 2804.6172 2.4997 55.2536 -3.8519 67.7109
ARENITO 49.0 2804.7696 2.4857 56.4223 -1.5973 67.5484
ARENITO 49.0 2804.922 2.4801 57.5597 0.7415 67.4863
ARENITO 49.0 2805.0744 2.495 56.8398 2.3771 67.3903
ARENITO 49.0 2805.2268 2.5121 54.9159 3.8583 67.1978
ARENITO 49.0 2805.3792 2.5097 53.4123 5.2428 67.0783
ARENITO 49.0 2805.5316 2.4897 52.3938 6.6714 67.1234
ARENITO 49.0 2805.684 2.4647 52.8589 8.207 67.6719
ARENITO 49.0 2805.8364 2.4656 54.9042 9.3434 68.2852
ARENITO 49.0 2805.9888 2.485 56.4097 10.3301 68.3361
ARENITO 49.0 2806.1412 2.4918 56.1108 11.6162 67.9043
ARENITO 49.0 2806.2936 2.4788 55.1535 12.9453 66.9805
ARENITO 49.0 2806.446 2.4767 55.3173 13.3851 65.8103
ARENITO 49.0 2806.5984 2.4944 57.1545 13.486 64.921
ARENITO 49.0 2806.7508 2.5244 58.3208 13.936 64.3317
ARENITO 49.0 2806.9032 2.5611 58.1503 14.778 64.3069
ARENITO 49.0 2807.0556 2.5761 57.8745 16.0752 65.2302
ARENITO 49.0 2807.208 2.5586 57.9306 18.2202 66.3238
ARENITO 49.0 2807.3604 2.5419 58.1783 20.831 66.6385
ARENITO 49.0 2807.5128 2.5495 58.9511 23.1934 65.8844
ARENITO 49.0 2807.6652 2.5607 60.6509 26.3681 64.1733
ARENITO 49.0 2807.8176 2.5674 62.3836 31.0231 62.1779
ARENITO 49.0 2807.97 2.5869 63.5725 34.8918 61.1529
ARENITO 49.0 2808.1224 2.6023 64.1943 36.9337 61.3447
ARENITO 49.0 2808.2748 2.5921 63.9003 37.6587 62.3088
ARENITO 49.0 2808.4272 2.5715 62.7288 36.9783 63.8525
ARENITO 49.0 2808.5796 2.5498 61.3235 35.9611 65.6194
ARENITO 49.0 2808.732 2.5323 60.5447 35.5502 66.5367
ARENITO 49.0 2808.8844 2.5293 59.582 34.9966 66.8512
ARENITO 49.0 2809.0368 2.5152 57.5853 34.0965 66.9432
ARENITO 49.0 2809.1892 2.4996 56.7409 33.9383 66.0411
ARENITO 49.0 2809.3416 2.5104 58.0122 33.8474 64.7934
ARENITO 49.0 2809.494 2.5244 59.725 33.3539 63.6064
ARENITO 49.0 2809.6464 2.5273 59.4534 33.0874 63.1309
ARENITO 49.0 2809.7988 2.5173 58.2992 33.2022 63.0986
ARENITO 49.0 2809.9512 2.525 59.3023 33.2184 62.611
ARENITO 49.0 2810.1036 2.5526 63.2695 32.7401 61.9805
ARENITO 49.0 2810.256 2.5744 67.1556 31.6487 61.3815
ARENITO 49.0 2810.4084 2.5714 68.2521 29.9337 60.8018
ARENITO 49.0 2810.5608 2.557 67.4145 28.0774 60.6352
ARENITO 49.0 2810.7132 2.5592 66.204 26.1102 60.9801
ARENITO 49.0 2810.8656 2.5552 65.5747 23.5322 61.674
ARENITO 49.0 2811.018 2.543 64.2856 20.4517 62.3329
ARENITO 49.0 2811.1704 2.5419 60.8038 17.4793 62.7829
ARENITO 49.0 2811.3228 2.5537 56.092 14.5181 63.2845
ARENITO 49.0 2811.4752 2.5495 52.8939 11.1883 63.9087
ARENITO 49.0 2811.6276 2.5245 52.4287 8.4669 64.3622
ARENITO 49.0 2811.78 2.5145 52.7405 7.0442 64.3754
ARENITO 49.0 2811.9324 2.516 52.555 5.7504 64.1879
ARENITO 49.0 2812.0848 2.518 52.2231 5.5023 64.1879
ARENITO 49.0 2812.2372 2.526 51.8543 5.6327 64.4161
ARENITO 49.0 2812.3896 2.5517 51.604 6.7493 65.0704
ARENITO 49.0 2812.542 2.5494 50.9386 7.978 65.7939
ARENITO 49.0 2812.6944 2.5315 50.4534 8.3327 66.1899
ARENITO 49.0 2812.8468 2.5251 50.5843 8.3409 66.5978
ARENITO 49.0 2812.9992 2.5118 50.9144 8.4595 66.9646
ARENITO 49.0 2813.1516 2.5044 51.0724 8.0735 66.7232
ARENITO 49.0 2813.304 2.5015 50.9857 7.4615 66.3842
ARENITO 49.0 2813.4564 2.5026 50.6033 7.4881 66.9964
ARENITO 49.0 2813.6088 2.4992 49.7199 7.4596 67.2684
ARENITO 49.0 2813.7612 2.5078 48.9582 6.3082 67.1198
ARENITO 49.0 2813.9136 2.5173 49.474 4.4458 67.6122
ARENITO 49.0 2814.066 2.517 51.1051 2.8702 68.0976
ARENITO 49.0 2814.2184 2.5315 52.7807 2.036 67.5869
ARENITO 49.0 2814.3708 2.5434 54.3135 1.8099 66.4648
ARENITO 49.0 2814.5232 2.5477 56.1064 2.2137 65.4134
ARENITO 49.0 2814.6756 2.5531 57.5 2.4137 64.5811
ARENITO 49.0 2814.828 2.5593 56.9082 1.7585 64.1775
ARENITO 49.0 2814.9804 2.5579 55.0472 0.6351 63.9772
ARENITO 49.0 2815.1328 2.5533 53.4236 -0.5989 64.1938
ARENITO 49.0 2815.2852 2.5434 51.9722 -1.1454 65.0532
ARENITO 49.0 2815.4376 2.5325 50.9483 -1.2842 66.1003
ARENITO 49.0 2815.59 2.5288 50.9864 -0.6958 66.7344
ARENITO 49.0 2815.7424 2.5257 52.1717 1.5163 66.6314
ARENITO 49.0 2815.8948 2.5462 53.966 4.7635 65.9803
ARENITO 49.0 2816.0472 2.5714 54.6846 7.5122 65.2938
ARENITO 49.0 2816.1996 2.5744 53.8566 8.601 65.727
ARENITO 49.0 2816.352 2.5493 52.4387 8.1359 67.0463
ARENITO 49.0 2816.5044 2.5416 51.2881 7.292 68.274
ARENITO 49.0 2816.6568 2.538 51.1955 7.2687 68.9394
ARENITO 49.0 2816.8092 2.5134 52.1259 8.6289 68.529
ARENITO 49.0 2816.9616 2.5181 53.2687 11.3322 67.7234
ARENITO 49.0 2817.114 2.5234 53.7569 14.976 67.0522
ARENITO 49.0 2817.2664 2.5095 53.7416 17.9022 66.1934
ARENITO 49.0 2817.4188 2.5048 54.6426 20.1267 64.8322
ARENITO 49.0 2817.5712 2.5233 57.4432 21.9045 62.8413
ARENITO 49.0 2817.7236 2.5571 60.1846 23.0895 61.3683
ARENITO 49.0 2817.876 2.5803 62.5829 23.0358 61.0197
ARENITO 49.0 2818.0284 2.5749 64.7947 21.8449 61.5258
ARENITO 49.0 2818.1808 2.5745 66.2222 20.6652 62.1743
ARENITO 49.0 2818.3332 2.5635 66.9929 19.6778 62.4806
ARENITO 49.0 2818.4856 2.5545 67.9266 18.8408 62.1079
ARENITO 49.0 2818.638 2.5653 70.1495 18.1008 60.79
ARENITO 49.0 2818.7904 2.5774 73.2434 17.2076 59.1798
ARENITO 49.0 2818.9428 2.582 77.186 16.0654 57.9054
ARENITO 49.0 2819.0952 2.6084 80.1172 14.6782 57.5225
ARENITO 49.0 2819.2476 2.6106 80.3212 13.197 57.2904
ARENITO 49.0 2819.4 2.5782 76.6059 12.0247 58.7493
ARENITO 49.0 2819.5524 2.5208 69.247 10.2548 62.1316
ARENITO 49.0 2819.7048 2.4782 61.7453 6.9385 64.6507
ARENITO 49.0 2819.8572 2.4662 56.2821 3.3029 65.9573
ARENITO 49.0 2820.0096 2.4676 53.2922 0.6332 66.6256
ARENITO 49.0 2820.162 2.4787 50.5938 -1.2697 66.7544
ARENITO 49.0 2820.3144 2.4879 48.7093 -2.9978 66.6075
ARENITO 49.0 2820.4668 2.4835 48.1649 -5.0479 66.2446
ARENITO 49.0 2820.6192 2.482 50.5739 -6.9471 65.9243
ARENITO 49.0 2820.7716 2.487 53.3494 -8.8362 65.9351
ARENITO 49.0 2820.924 2.4962 54.2824 -10.9753 66.4139
ARENITO 49.0 2821.0764 2.5007 53.4964 -12.8744 67.1649
ARENITO 49.0 2821.2288 2.5089 52.5038 -14.1116 67.6348
ARENITO 49.0 2821.3812 2.515 51.6781 -14.7718 67.6033
ARENITO 49.0 2821.5336 2.5133 50.6864 -15.4307 67.5362
ARENITO 49.0 2821.686 2.5187 50.3311 -16.0057 67.5362
ARENITO 49.0 2821.8384 2.5126 51.4937 -16.4995 67.5698
ARENITO 49.0 2821.9908 2.4898 53.341 -16.8274 67.4849
ARENITO 49.0 2822.1432 2.481 56.1935 -16.74 66.1801
ARENITO 49.0 2822.2956 2.462 59.2685 -15.9904 63.9543
ARENITO 49.0 2822.448 2.4695 63.9298 -14.8345 61.242
ARENITO 49.0 2822.6004 2.525 69.8382 -12.922 59.1041
ARENITO 49.0 2822.7528 2.5812 74.6379 -11.889 58.5063
ARENITO 49.0 2822.9052 2.6126 76.858 -12.2458 59.8027
ARENITO 49.0 2823.0576 2.6052 76.6934 -12.8163 61.1533
ARENITO 49.0 2823.21 2.5828 76.0406 -12.2814 61.072
ARENITO 49.0 2823.3624 2.5744 77.9935 -10.7777 60.3311
ARENITO 49.0 2823.5148 2.5675 81.9194 -9.2205 60.2654
ARENITO 49.0 2823.6672 2.5698 83.254 -8.085 60.9392
ARENITO 49.0 2823.8196 2.5556 80.7747 -6.5763 62.2138
ARENITO 49.0 2823.972 2.5411 76.23 -3.6247 64.1279
ARENITO 49.0 2824.1244 2.5272 71.6814 -0.5157 65.8424
ARENITO 49.0 2824.2768 2.5165 68.134 1.3879 66.1798
ARENITO 49.0 2824.4292 2.5118 65.3856 2.6929 65.4202
ARENITO 49.0 2824.5816 2.5023 64.5444 3.9287 63.949
ARENITO 49.0 2824.734 2.4976 67.0634 5.1645 62.2577
ARENITO 49.0 2824.8864 2.5325 71.6853 5.8615 61.2815
ARENITO 49.0 2825.0388 2.5626 74.864 6.176 61.1622
ARENITO 49.0 2825.1912 2.5659 74.511 6.243 61.7014
ARENITO 49.0 2825.3436 2.5619 71.7204 5.1598 62.9514
ARENITO 49.0 2825.496 2.552 67.5683 3.6781 64.5149
ARENITO 49.0 2825.6484 2.5422 61.4603 2.7414 66.009
ARENITO 49.0 2825.8008 2.52 55.3295 2.9135 66.4608
ARENITO 49.0 2825.9532 2.5137 51.4641 4.3227 66.3753
ARENITO 49.0 2826.1056 2.5125 50.2915 8.4439 65.4037
ARENITO 49.0 2826.258 2.5172 51.7116 14.8657 63.1748
ARENITO 49.0 2826.4104 2.528 56.0638 21.2143 60.6607
ARENITO 49.0 2826.5628 2.558 62.2412 26.0879 59.1352
ARENITO 49.0 2826.7152 2.5812 66.5865 29.7901 58.9542
ARENITO 49.0 2826.8676 2.5835 67.7763 33.055 59.1043
ARENITO 49.0 2827.02 2.5798 66.683 35.7027 59.5974
ARENITO 49.0 2827.1724 2.5834 64.1666 37.6087 60.4287
ARENITO 49.0 2827.3248 2.5856 62.3102 38.5794 61.0228
ARENITO 49.0 2827.4772 2.575 60.3605 38.7518 61.3317
ARENITO 49.0 2827.6296 2.5695 58.4212 38.7518 61.6597
ARENITO 49.0 2827.782 2.565 57.4795 38.5605 61.8944
ARENITO 49.0 2827.9344 2.5569 56.8839 38.314 61.939
ARENITO 49.0 2828.0868 2.5556 56.4343 38.2592 62.3291
ARENITO 49.0 2828.2392 2.5559 56.5377 38.6455 62.478
ARENITO 49.0 2828.3916 2.5653 57.3025 38.7518 62.0571
ARENITO 49.0 2828.544 2.5836 58.0164 38.7518 61.2694
ARENITO 49.0 2828.6964 2.5909 58.4169 38.5568 61.0895
ARENITO 49.0 2828.8488 2.5704 58.6165 37.722 61.2087
ARENITO 49.0 2829.0012 2.5402 57.9943 36.5398 61.518
ARENITO 49.0 2829.1536 2.5355 57.8266 35.8953 61.749
ARENITO 49.0 2829.306 2.5559 58.554 35.5987 61.749
ARENITO 49.0 2829.4584 2.5432 59.6596 35.3522 61.5784
ARENITO 49.0 2829.6108 2.5341 60.6168 34.7078 61.5795
ARENITO 49.0 2829.7632 2.537 61.1923 34.1659 61.8322
ARENITO 49.0 2829.9156 2.5298 60.484 33.473 62.254
ARENITO 49.0 2830.068 2.5287 58.7548 32.5314 62.7865
ARENITO 49.0 2830.2204 2.5452 57.8642 31.9457 63.0929
ARENITO 49.0 2830.3728 2.5382 57.3382 31.856 63.3026
ARENITO 49.0 2830.5252 2.531 57.1145 32.2611 62.9273
ARENITO 49.0 2830.6776 2.5242 57.8332 33.365 62.1373
ARENITO 49.0 2830.83 2.5337 59.8351 34.3967 61.5747
ARENITO 49.0 2830.9824 2.5467 62.8814 34.9739 61.2404
ARENITO 49.0 2831.1348 2.5597 65.8291 35.0576 61.3559
ARENITO 49.0 2831.2872 2.5577 67.0685 34.8516 61.7656
ARENITO 49.0 2831.4396 2.5619 66.5957 34.6051 62.1321
