~VERSION INFORMATION
VERS.           2.0   :CWLS Log ASCII Standard - VERSION 2.0
WRAP.           NO    :One Line per depth step
PROD.  Schlumberger   :LAS Producer
PROG.  DLIS to ASCII 2.3                               :LAS Program name and version
CREA.        2020/06/03 21:45                          :LAS Creation date {YYYY/MM/DD hh:mm}
DLIS_CREA.  2020-Jun-03 21:25                          :DLIS Creation date and time {YYYY-MMM-DD hh:mm}
SOURCE.     2CB__0001DASP_2CB__0001DASP.dlis           :DLIS File Name
FILE-ID.     RECALL.001                                :File Identification Number
#--------------------------------------------------
~WELL INFORMATION
#MNEM.UNIT      DATA             DESCRIPTION
#---- ------ --------------   -----------------------------
STRT .F        15808.0       :START DEPTH     
STOP .F        11975.5       :STOP DEPTH     
STEP .F           -0.5       :STEP     
NULL .          -999.25      :NULL VALUE
COMP .                                                 :COMPANY
WELL .                                                 :WELL
FLD  .                                                 :FIELD
LOC  .                                                 :LOCATION
CNTY .                                                 :COUNTY
STAT .                                                 :STATE
CTRY .                                                 :COUNTRY
API  .                                                 :API NUMBER
UWI  .                                                 :UNIQUE WELL ID
DATE .                                                 :LOG DATE
SRVC .        Schlumberger                             :SERVICE COMPANY
LATI .DEG                                              :LATITUDE
LONG .DEG                                              :LONGITUDE
GDAT .                                                 :GeoDetic Datum
#-----------------------------------------------------------------------------
~PARAMETER INFORMATION
#MNEM.UNIT    VALUE                      DESCRIPTION
#---- -----   --------------------       ------------------------
RUN  .                                   :RUN NUMBER
PDAT .                                   :Permanent Datum
EPD  .                                   :Elevation of Permanent Datum above Mean Sea Level
LMF  .                                   :Logging Measured From (Name of Logging Elevation Reference)
APD  .                                   :Elevation of Depth Reference (LMF) above Permanent Datum
#-----------------------------------------------------------------------------
~CURVE INFORMATION
#MNEM.UNIT   API CODE                                  DESCRIPTION
#---- -----  --------                                  -----------------------
DEPT .F                                                :DEPTH (BOREHOLE) {F10.1}
DEPT .M                                                : {F13.4}
CALI .IN                                               : {F13.4}
ILD  .OHMM                                             : {F13.4}
DT   .US/F                                             : {F13.4}
SRAT .                                                 : {F13.4}
SGR  .GAPI                                             : {F13.4}
CGR  .GAPI                                             : {F13.4}
SP   .MV                                               : {F13.4}
THOR .PPM                                              : {F13.4}
URAN .PPM                                              : {F13.4}
POTA .%                                                : {F13.4}
RHOB .G/CC                                             : {F13.4}
NPHI .FRAC                                             : {F13.4}
DRHO .G/CC                                             : {F13.4}
#-----------------------------------------------------------------------------
# 
#     DEPT        DEPT         CALI         ILD          DT           SRAT         SGR          CGR          SP           THOR         URAN         POTA         RHOB         NPHI         DRHO
#
~A  
   15808.0    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500
   15807.5    4818.2559    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15807.0    4818.1045    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15806.5    4817.9521    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15806.0    4817.7998    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15805.5    4817.6484    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15805.0    4817.4961    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5820       0.0127       0.0239
   15804.5    4817.3447    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.6133       0.0127       0.0557
   15804.0    4817.1924    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.6172       0.0127       0.0659
   15803.5    4817.0400    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5566       0.0127       0.0073
   15803.0    4816.8887    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5391       0.0127      -0.0229
   15802.5    4816.7363    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5371       0.0127      -0.0332
   15802.0    4816.5840    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5723       0.0122      -0.0015
   15801.5    4816.4326    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5723       0.0127       0.0034
   15801.0    4816.2803    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500    -999.2500       2.5918       0.0127       0.0181
