Rock Code Depth(m) RHOB GR SP DT
Shale 57.0 10.0 1.2940454577425224 61.70922740651107 41.08406250698235 230.58146380045062
Shale 57.0 20.0 1.3819271704811196 52.114079376446526 36.85543814013188 190.8318745836262
Shale 57.0 30.0 1.6758914094858923 63.32058622132836 41.1663696076767 302.44044663107684
Shale 57.0 40.0 1.7760327556169493 71.51488214093693 38.940214682079564 345.3136936017323
Shale 57.0 50.0 1.8895114254640324 88.71632015464589 69.12469394548258 375.3768959714029
Shale 57.0 60.0 2.064731538054564 97.5711609053758 52.57785619654327 396.8720822267935
Shale 57.0 70.0 2.1635750863772274 103.9091000506385 52.94770377838994 476.63391034425325
Shale 57.0 80.0 2.429382732174772 98.4743149127634 51.00599681555578 447.6461800755102
Shale 57.0 90.0 2.297039827477932 110.57778094151371 58.99498719557706 471.92891080447464
Shale 57.0 100.0 2.542175053939744 99.55912510385023 60.770281014419325 431.9592560790374
Shale 57.0 110.0 2.507462779891971 92.82169593837787 66.48411768162471 523.7394421740419
Shale 57.0 120.0 2.31706562267261 123.12667734554401 64.78206113305782 519.5179769773051
Shale 57.0 130.0 2.206217818186774 102.10735009889677 59.31750250085779 504.1222298927542
Shale 57.0 140.0 2.521679180758376 107.31232947942569 72.82129795859977 562.9268296885436
Shale 57.0 150.0 2.3257457689551155 103.57091291759886 75.07071644288956 496.36101620436796
Shale 57.0 160.0 2.5865847038725844 115.08959672477428 77.80176031594415 493.79476184584894
Shale 57.0 170.0 2.4686423857299267 103.59529972972908 71.50960749508037 569.7039151671486
Shale 57.0 180.0 2.252094000050865 107.47032256424735 73.1672554972881 499.88606943832133
Shale 57.0 190.0 2.423526991049524 113.1781891927703 71.9331687903109 545.4807012331405
Shale 57.0 200.0 2.5306501447581966 104.25631044072416 65.26615953967611 517.7922158513749
Shale 57.0 210.0 2.5145520548984126 101.14052410511208 81.83713470498135 535.9016493528742
Shale 57.0 220.0 2.4197385057826644 108.10753757088972 57.599970891840364 546.0135466832692
Shale 57.0 230.0 2.4823864305469097 117.80172854100704 62.38393762841317 527.7429494213841
Shale 57.0 240.0 2.5107788291960933 111.907234846507 49.1891984150485 563.9247006805764
Shale 57.0 250.0 2.510779807518268 112.13012730590332 75.86909867144456 537.8360935320046
Shale 57.0 260.0 2.7625656308519955 104.87364825989391 58.929796967288006 537.7334520271233
Shale 57.0 270.0 2.4519806608216697 113.323304188454 81.34416805982755 551.0383003668186
Shale 57.0 280.0 2.4035015701217346 101.1116470631768 70.76723601371809 571.5646881228856
Shale 57.0 290.0 2.522727021280894 106.98555493873344 72.61243404781156 541.6424057015671
Shale 57.0 300.0 2.482571075888292 116.11326199914059 61.499519615468365 517.7554035513956
Shale 57.0 310.0 2.4569744739567816 106.81103471600464 72.25082205281673 547.0295456815321
Shale 57.0 320.0 2.4756139158881028 106.74121171068278 66.89624997047297 584.6491844089127
Shale 57.0 330.0 2.402708189987002 89.02385658621445 65.65571106714867 594.2901986675226
Shale 57.0 340.0 2.365668283870524 118.10502412329028 77.10888142129518 504.3603396144744
Shale 57.0 350.0 2.4189277961667552 105.20162398414769 54.888540652370345 579.672137746774
Shale 57.0 360.0 2.6485349661634188 123.7707673781822 58.131696908585205 548.2831254993664
Shale 57.0 370.0 2.5766799529888056 107.91378868620184 56.563887450972025 579.3296801656837
Shale 57.0 380.0 2.5945570390650112 104.49384928027986 59.27294677534756 581.9626338715159
Shale 57.0 390.0 2.437633975952292 110.42857900357583 57.58363780118062 518.7879001240103
Shale 57.0 400.0 2.2837609371182617 120.32072128657015 58.165195584740594 545.0917001390893
Shale 57.0 410.0 2.464842413147041 95.27817557928677 68.85918194585828 556.0676909909612
Shale 57.0 420.0 2.4862976013187783 103.54936379707794 61.8787731753381 484.1325338711605
Shale 57.0 430.0 2.48248068659706 107.51516380977314 57.29247532706602 561.7319648808904
Shale 57.0 440.0 2.6242429301216887 99.41373114890757 62.36772405894036 478.79742469455095
Shale 57.0 450.0 2.4892077365395258 94.36456489363992 63.84340812820332 528.1060995285698
Shale 57.0 460.0 2.3106529678785876 86.56172839685202 43.06232451273428 434.4764421770089
Shale 57.0 470.0 2.3287413918035598 96.32932693615295 31.93858806174834 467.59568669142607
Shale 57.0 480.0 2.669435300233335 95.30694777443935 32.7956965408642 343.99722196739805
Shale 57.0 490.0 2.5394018324263445 81.21526179877573 42.52876711991457 371.85406265361536
Shale 57.0 500.0 2.408976117041812 82.73747292486827 9.474272890701087 321.3504017593413
Calciferous_Sandstone 8.0 510.0 2.4322925541645497 73.67109195795098 -13.011414227994337 344.26845133526365
Calciferous_Sandstone 8.0 520.0 2.535958117169271 62.63433816334579 15.164349580009468 318.4443917213305
Calciferous_Sandstone 8.0 530.0 2.6411664516301627 68.4665194959059 3.3628002832743253 361.76196879241616
Calciferous_Sandstone 8.0 540.0 2.5645488192662014 53.90859936065849 -13.272723579889377 306.30465424890036
Calciferous_Sandstone 8.0 550.0 2.5338545223428537 66.80479940575883 -26.411165720420236 270.5462637951011
Calciferous_Sandstone 8.0 560.0 2.512041440369155 38.633778813381745 -40.20386956392245 225.87453990933528
Calciferous_Sandstone 8.0 570.0 2.5767025105857866 52.22123846667456 -20.881482922827715 179.1035918734568
Calciferous_Sandstone 8.0 580.0 2.5292841215442423 41.89096810957582 -41.23966371499061 219.8956620254233
Calciferous_Sandstone 8.0 590.0 2.468510968676953 45.62573812228119 -51.97276568243054 215.0209983440211
Calciferous_Sandstone 8.0 600.0 2.492865210510377 49.54480238912701 -64.56638745371036 189.01464319710524
Calciferous_Sandstone 8.0 610.0 2.4986138203146133 34.26492109465013 -52.39956746559511 187.97797773669566
Calciferous_Sandstone 8.0 620.0 2.471637538487017 42.88308875281789 -55.453158002488614 166.3980337779873
Calciferous_Sandstone 8.0 630.0 2.7401778732779007 40.8962377610105 -45.91493351455245 145.70084600825322
Calciferous_Sandstone 8.0 640.0 2.5397798595566146 32.627985971027684 -43.57106800221948 94.37297689915455
Calciferous_Sandstone 8.0 650.0 2.4498075621328934 41.37237173677365 -56.070742779126896 154.20087126796722
Calciferous_Sandstone 8.0 660.0 2.3231654823343617 35.0264100673631 -62.1303767348107 152.83838038659616
Calciferous_Sandstone 8.0 670.0 2.6073026369285066 49.57595320369761 -36.75572917190543 138.28748115885813
Calciferous_Sandstone 8.0 680.0 2.31681829100048 41.96925234983485 -85.04480098741435 109.06318289502724
Calciferous_Sandstone 8.0 690.0 2.483173385119395 50.44914418254735 -64.13596313651453 124.66750842863924
Calciferous_Sandstone 8.0 700.0 2.420629939475858 51.13320468536261 -68.59707267830095 109.60923121534107
Calciferous_Sandstone 8.0 710.0 2.4363355633190023 42.55897070382578 -53.59562241602701 142.38636003024982
Calciferous_Sandstone 8.0 720.0 2.410101364750335 41.13061448809435 -60.0545118574227 135.5245857192342
Calciferous_Sandstone 8.0 730.0 2.462218466931356 47.63563113728764 -61.18113277539133 119.26627695513704
