Lito            Codigo        Depth(m)        GR            RHOB        DT            SP


arenito     49.0        3183.7884        34.8717        2.5821        58.9735        32.7695
arenito     49.0        3183.6360        34.8717        2.5737        58.9735        33.0197
arenito     49.0        3183.4836        34.8656        2.5951        58.9735        33.2294
arenito     49.0        3183.3312        34.8032        2.6191        58.9735        33.0214
arenito     49.0        3183.1788        34.8717        2.6186        58.9735        33.2284
arenito     49.0        3183.0264        34.8717        2.6039        58.9603        32.9775
arenito     49.0        3182.8740        34.8717        2.6041        58.8222        32.7500
arenito     49.0        3182.7216        34.8717        2.6152        58.7827        32.7500
arenito     49.0        3182.5692        34.6674        2.6170        58.8363        32.7257
arenito     49.0        3182.4168        31.0860        2.6168        58.9147        32.5252
arenito     49.0        3182.2644        15.6611        2.6149        58.8370        32.8281
arenito     49.0        3182.1120        12.3706        2.6187        58.9143        33.5000
arenito     49.0        3181.9596        13.7062        2.6621        58.8321        33.7441
arenito     49.0        3181.8072        15.4527        2.6852        58.8757        35.8621
arenito     49.0        3181.6548        16.6790        2.6598        58.8701        36.6924
arenito     49.0        3181.5024        17.5041        2.6342        58.8438        36.1920
arenito     49.0        3181.3500        18.3046        2.6305        58.9676        35.7799
arenito     49.0        3181.1976        18.8877        2.6529        58.9246        36.0000
arenito     49.0        3181.0452        19.3748        2.6811        58.9306        35.9382
arenito     49.0        3180.8928        20.1079        2.6807        58.9548        35.4046
arenito     49.0        3180.7404        20.5922        2.6742        58.8332        34.6197
arenito     49.0        3180.5880        20.2529        2.6923        58.8629        33.6844
arenito     49.0        3180.4356        19.6713        2.7117        58.7977        33.2163
arenito     49.0        3180.2832        19.2511        2.6875        58.9313        32.9654
arenito     49.0        3180.1308        18.9726        2.6198        58.9735        32.7500
arenito     49.0        3179.9784        18.5430        2.5630        58.9735        32.7144
arenito     49.0        3179.8260        19.1229        2.5143        58.9735        32.4635
arenito     49.0        3179.6736        19.5405        2.4707        58.9735        32.1755
arenito     49.0        3179.5212        19.7543        2.4539        58.9735        31.7500
arenito     49.0        3179.3688        19.8358        2.5059        58.9735        31.7500
arenito     49.0        3179.2164        19.6172        2.5381        58.9582        31.7891
arenito     49.0        3179.0640        19.8068        2.5084        58.8834        31.9607
arenito     49.0        3178.9116        19.7707        2.5218        58.9246        31.7500
arenito     49.0        3178.7592        19.5080        2.5270        58.9326        31.8322
arenito     49.0        3178.6068        19.1072        2.5333        58.9735        32.3338
arenito     49.0        3178.4544        19.0455        2.5355        58.9652        32.7500
arenito     49.0        3178.3020        19.3700        2.5130        58.9919        32.7500
arenito     49.0        3178.1496        19.3402        2.5176        59.2900        32.7500
arenito     49.0        3177.9972        18.8811        2.5379        59.2206        32.7940
arenito     49.0        3177.8448        18.7979        2.5323        59.5764        33.0898
arenito     49.0        3177.6924        19.0098        2.5321        60.1873        33.5916
arenito     49.0        3177.5400        19.1183        2.5592        60.7413        34.0931
arenito     49.0        3177.3876        18.9732        2.6284        61.7469        34.5936
arenito     49.0        3177.2352        18.6791        2.6746        63.2706        35.0954
arenito     49.0        3177.0828        19.1130        2.6596        63.6283        35.5484
arenito         49.0        3176.9304        19.6861        2.6514        63.3184        35.7500
