Lito            Codigo        Depth(m)        GR            RHOB        DT            SP


arenito         49.00       3183.79   3.4872E+001   2.5821E+000   5.8974E+001   3.2770E+001
arenito         49.00       3183.64   3.4872E+001   2.5737E+000   5.8974E+001   3.3020E+001
arenito         49.00       3183.48   3.4866E+001   2.5951E+000   5.8974E+001   3.3229E+001
arenito         49.00       3183.33   3.4803E+001   2.6191E+000   5.8974E+001   3.3021E+001
arenito         49.00       3183.18   3.4872E+001   2.6186E+000   5.8974E+001   3.3228E+001
arenito         49.00       3183.03   3.4872E+001   2.6039E+000   5.8960E+001   3.2977E+001
arenito         49.00       3182.87   3.4872E+001   2.6041E+000   5.8822E+001   3.2750E+001
arenito         49.00       3182.72   3.4872E+001   2.6152E+000   5.8783E+001   3.2750E+001
arenito         49.00       3182.57   3.4667E+001   2.6170E+000   5.8836E+001   3.2726E+001
arenito         49.00       3182.42   3.1086E+001   2.6168E+000   5.8915E+001   3.2525E+001
arenito         49.00       3182.26   1.5661E+001   2.6149E+000   5.8837E+001   3.2828E+001
arenito         49.00       3182.11   1.2371E+001   2.6187E+000   5.8914E+001   3.3500E+001
arenito         49.00       3181.96   1.3706E+001   2.6621E+000   5.8832E+001   3.3744E+001
arenito         49.00       3181.81   1.5453E+001   2.6852E+000   5.8876E+001   3.5862E+001
arenito         49.00       3181.65   1.6679E+001   2.6598E+000   5.8870E+001   3.6692E+001
arenito         49.00       3181.50   1.7504E+001   2.6342E+000   5.8844E+001   3.6192E+001
arenito         49.00       3181.35   1.8305E+001   2.6305E+000   5.8968E+001   3.5780E+001
arenito         49.00       3181.20   1.8888E+001   2.6529E+000   5.8925E+001   3.6000E+001
arenito         49.00       3181.05   1.9375E+001   2.6811E+000   5.8931E+001   3.5938E+001
arenito         49.00       3180.89   2.0108E+001   2.6807E+000   5.8955E+001   3.5405E+001
arenito         49.00       3180.74   2.0592E+001   2.6742E+000   5.8833E+001   3.4620E+001
arenito         49.00       3180.59   2.0253E+001   2.6923E+000   5.8863E+001   3.3684E+001
arenito         49.00       3180.44   1.9671E+001   2.7117E+000   5.8798E+001   3.3216E+001
arenito         49.00       3180.28   1.9251E+001   2.6875E+000   5.8931E+001   3.2965E+001
arenito         49.00       3180.13   1.8973E+001   2.6198E+000   5.8974E+001   3.2750E+001
arenito         49.00       3179.98   1.8543E+001   2.5630E+000   5.8974E+001   3.2714E+001
arenito         49.00       3179.83   1.9123E+001   2.5143E+000   5.8974E+001   3.2464E+001
arenito         49.00       3179.67   1.9541E+001   2.4707E+000   5.8974E+001   3.2175E+001
arenito         49.00       3179.52   1.9754E+001   2.4539E+000   5.8974E+001   3.1750E+001
arenito         49.00       3179.37   1.9836E+001   2.5059E+000   5.8974E+001   3.1750E+001
arenito         49.00       3179.22   1.9617E+001   2.5381E+000   5.8958E+001   3.1789E+001
arenito         49.00       3179.06   1.9807E+001   2.5084E+000   5.8883E+001   3.1961E+001
arenito         49.00       3178.91   1.9771E+001   2.5218E+000   5.8925E+001   3.1750E+001
arenito         49.00       3178.76   1.9508E+001   2.5270E+000   5.8933E+001   3.1832E+001
arenito         49.00       3178.61   1.9107E+001   2.5333E+000   5.8974E+001   3.2334E+001
