Rock Code Depth1(m) RHOB GR SP DT
SILTITO 54.0 3970.0690000000004 2.615 99.0 50.2 57.7
SILTITO 54.0 3970.2209999999995 2.626 100.6 49.4 57.7
SILTITO 54.0 3970.3740000000003 2.64 106.7 49.2 58.2
SILTITO 54.0 3970.526 2.65 116.7 49.5 59.2
SILTITO 54.0 3970.679 2.652 125.6 49.0 60.7
SILTITO 54.0 3970.8309999999997 2.651 128.7 48.9 61.9
SILTITO 54.0 3970.9829999999997 2.648 124.7 49.7 62.4
SILTITO 54.0 3971.136 2.644 116.4 49.1 62.2
SILTITO 54.0 3971.288 2.636 109.7 49.0 61.2
SILTITO 54.0 3971.44 2.629 105.8 49.4 59.7
SILTITO 54.0 3971.593 2.628 102.8 48.9 58.6
SILTITO 54.0 3971.745 2.633 101.8 48.4 58.6
SILTITO 54.0 3971.8979999999997 2.636 106.7 48.5 59.5
SILTITO 54.0 3972.05 2.631 115.7 49.1 60.4
SILTITO 54.0 3972.203 2.624 119.9 49.2 60.9
SILTITO 54.0 3972.355 2.621 115.8 49.3 60.5
SILTITO 54.0 3972.507 2.623 109.3 50.3 59.8
SILTITO 54.0 3972.66 2.626 106.8 50.5 59.4
SILTITO 54.0 3972.812 2.626 108.7 50.0 59.3
SILTITO 54.0 3972.9640000000004 2.627 110.4 50.6 59.5
SILTITO 54.0 3973.117 2.632 110.6 49.8 59.3
SILTITO 54.0 3973.27 2.641 109.6 48.9 59.3
SILTITO 54.0 3973.422 2.649 108.0 48.4 58.3
SILTITO 54.0 3973.574 2.652 107.8 48.2 57.7
SILTITO 54.0 3973.7270000000003 2.652 110.6 47.9 57.7
SILTITO 54.0 3973.8790000000004 2.651 116.4 47.0 57.8
SILTITO 54.0 3974.031 2.648 122.2 46.9 58.6
SILTITO 54.0 3974.184 2.646 123.7 46.5 60.2
SILTITO 54.0 3974.336 2.642 120.4 45.6 61.7
SILTITO 54.0 3974.488 2.635 115.2 44.9 62.2
SILTITO 54.0 3974.6409999999996 2.633 110.4 44.4 61.7
SILTITO 54.0 3974.7929999999997 2.639 106.9 43.1 60.9
SILTITO 54.0 3974.946 2.65 103.3 43.0 59.5
FOLHELHO 57.0 3975.098 2.658 100.3 41.9 58.0
FOLHELHO 57.0 3975.25 2.663 100.0 40.1 57.7
FOLHELHO 57.0 3975.403 2.67 103.3 38.9 58.7
FOLHELHO 57.0 3975.555 2.675 111.0 37.5 60.0
FOLHELHO 57.0 3975.708 2.672 120.6 36.6 60.7
FOLHELHO 57.0 3975.86 2.663 128.1 35.1 60.8
FOLHELHO 57.0 3976.013 2.652 131.3 33.6 60.7
FOLHELHO 57.0 3976.165 2.642 130.9 32.7 60.4
FOLHELHO 57.0 3976.317 2.632 128.3 31.6 60.4
FOLHELHO 57.0 3976.47 2.615 122.4 30.4 60.3
FOLHELHO 57.0 3976.6220000000003 2.581 109.1 29.6 59.7
FOLHELHO 57.0 3976.7740000000003 2.536 87.7 27.2 59.5
FOLHELHO 57.0 3976.927 2.495 64.9 25.0 60.1
ARENITO 49.0 3977.079 2.471 49.3 24.1 61.3
ARENITO 49.0 3977.232 2.464 43.3 22.8 62.7
ARENITO 49.0 3977.384 2.471 42.1 21.4 63.900009999999995
ARENITO 49.0 3977.5370000000003 2.486 42.1 20.3 64.7
ARENITO 49.0 3977.6890000000003 2.499 42.9 21.0 64.7
ARENITO 49.0 3977.841 2.505 45.0 20.0 64.0
ARENITO 49.0 3977.994 2.505 47.3 19.7 63.1
ARENITO 49.0 3978.1459999999997 2.507 48.0 20.1 62.4
ARENITO 49.0 3978.298 2.516 47.3 20.1 61.3
ARENITO 49.0 3978.4509999999996 2.531 48.0 20.1 60.2
ARENITO 49.0 3978.6040000000003 2.545 51.5 21.0 60.1
ARENITO 49.0 3978.756 2.55 55.7 21.1 60.5
ARENITO 49.0 3978.908 2.544 57.5 20.8 60.4
ARENITO 49.0 3979.0609999999997 2.534 56.8 21.7 60.1
ARENITO 49.0 3979.2129999999997 2.522 55.4 22.6 60.0
ARENITO 49.0 3979.365 2.513 55.3 23.2 59.9
ARENITO 49.0 3979.518 2.511 56.7 23.9 59.8
ARENITO 49.0 3979.67 2.518 59.8 25.6 59.9
ARENITO 49.0 3979.823 2.528 64.9 26.4 60.2
ARENITO 49.0 3979.975 2.532 68.1 27.0 60.4
ARENITO 49.0 3980.127 2.523 64.8 28.5 60.3
ARENITO 49.0 3980.28 2.505 56.2 30.2 60.8
ARENITO 49.0 3980.4320000000002 2.484 48.4 31.3 62.0
ARENITO 49.0 3980.5840000000003 2.47 46.1 33.3 62.9
ARENITO 49.0 3980.737 2.474 47.3 35.7 63.1
ARENITO 49.0 3980.889 2.5 49.2 37.0 63.0
ARENITO 49.0 3981.042 2.537 52.4 39.4 63.0
ARENITO 49.0 3981.1940000000004 2.576 64.2 42.6 63.60001
ARENITO 49.0 3981.347 2.612 82.9 45.3 65.39999
ARENITO 49.0 3981.4990000000003 2.634 93.3 47.8 67.2
ARENITO 49.0 3981.651 2.634 86.3 48.8 68.2
ARENITO 49.0 3981.804 2.618 70.7 50.1 68.0
ARENITO 49.0 3981.9559999999997 2.6 62.0 50.6 66.5
ARENITO 49.0 3982.1079999999997 2.585 61.6 50.1 64.3
ARENITO 49.0 3982.261 2.573 64.2 50.6 61.5
ARENITO 49.0 3982.413 2.567 68.3 50.0 59.1
ARENITO 49.0 3982.566 2.572 73.0 49.9 57.8
ARENITO 49.0 3982.718 2.586 77.6 50.1 57.4
ARENITO 49.0 3982.8709999999996 2.605 80.5 50.2 57.3
FOLHELHO 57.0 3983.0229999999997 2.622 82.4 50.1 57.1
FOLHELHO 57.0 3983.175 2.633 82.9 50.5 56.8
FOLHELHO 57.0 3983.328 2.637 82.7 51.3 56.0
FOLHELHO 57.0 3983.48 2.636 84.8 50.4 55.2
FOLHELHO 57.0 3983.632 2.635 89.3 50.7 55.1
FOLHELHO 57.0 3983.785 2.637 93.1 50.7 55.5
FOLHELHO 57.0 3983.938 2.642 93.9 50.7 56.1
FOLHELHO 57.0 3984.09 2.642 94.2 50.6 56.5
FOLHELHO 57.0 3984.242 2.638 98.6 50.6 56.8
FOLHELHO 57.0 3984.395 2.633 106.7 51.3 57.0
FOLHELHO 57.0 3984.547 2.632 114.9 49.6 57.3
