Litologia     codigo      prof  RHOB         GR        SP         DT
    
shale2          1           1   2.54E+00   1.07E+02   6.01E+01   5.34E+02
shale2          1           2   2.44E+00   1.16E+02   7.33E+01   5.38E+02
shale2          1           3   2.49E+00   1.05E+02   6.90E+01   5.47E+02
shale2          1           4   2.46E+00   1.07E+02   6.90E+01   5.61E+02
shale2          1           5   2.56E+00   1.04E+02   7.38E+01   5.47E+02
shale2          1           6   2.42E+00   1.09E+02   6.92E+01   5.38E+02
shale2          1           7   2.41E+00   1.17E+02   7.60E+01   5.51E+02
shale2          1           8   2.55E+00   1.18E+02   7.20E+01   5.60E+02
shale2          1           9   2.54E+00   1.05E+02   7.51E+01   5.20E+02
shale2          1          10   2.44E+00   1.08E+02   7.95E+01   5.55E+02
shale2          1          11   2.65E+00   1.08E+02   7.93E+01   5.79E+02
shale2          1          12   2.53E+00   1.02E+02   6.47E+01   5.44E+02
shale2          1          13   2.52E+00   1.06E+02   6.50E+01   5.34E+02
shale2          1          14   2.45E+00   1.07E+02   7.86E+01   5.69E+02
shale2          1          15   2.55E+00   1.07E+02   7.97E+01   5.66E+02
shale2          1          16   2.48E+00   1.09E+02   7.01E+01   5.57E+02
shale2          1          17   2.38E+00   1.11E+02   7.15E+01   5.25E+02
shale2          1          18   2.49E+00   1.08E+02   6.02E+01   5.39E+02
shale2          1          19   2.38E+00   1.11E+02   6.86E+01   5.72E+02
shale2          1          20   2.50E+00   1.07E+02   6.93E+01   5.46E+02
shale2          1          21   2.58E+00   1.03E+02   6.89E+01   5.34E+02
shale2          1          22   2.48E+00   1.05E+02   6.51E+01   5.34E+02
shale2          1          23   2.48E+00   1.16E+02   5.52E+01   5.43E+02
shale2          1          24   2.50E+00   1.11E+02   6.72E+01   5.52E+02
shale2          1          25   2.51E+00   1.14E+02   6.65E+01   5.75E+02
shale2          1          26   2.49E+00   1.06E+02   7.09E+01   5.47E+02
shale2          1          27   2.48E+00   1.13E+02   6.90E+01   5.46E+02
shale2          1          28   2.42E+00   1.08E+02   8.07E+01   5.55E+02
shale2          1          29   2.54E+00   1.09E+02   5.90E+01   5.37E+02
shale2          1          30   2.50E+00   1.17E+02   7.94E+01   5.62E+02
shale2          1          31   2.43E+00   1.09E+02   7.90E+01   5.66E+02
shale2          1          32   2.44E+00   1.15E+02   8.05E+01   5.23E+02
