Lithology       Code      Dept  RHOB         GR        SP         DT
    
Shale2          1           1   2.54E+00   1.03E+02   6.01E+01   4.69E+02
Shale2          1           2   2.44E+00   1.21E+02   7.33E+01   4.90E+02
Shale2          1           3   2.49E+00   9.93E+01   6.90E+01   5.34E+02
Shale2          1           4   2.46E+00   1.04E+02   6.90E+01   6.05E+02
Shale2          1           5   2.56E+00   9.87E+01   7.38E+01   5.36E+02
Shale2          1           6   2.42E+00   1.09E+02   6.92E+01   4.89E+02
Shale2          1           7   2.41E+00   1.23E+02   7.60E+01   5.53E+02
Shale2          1           8   2.55E+00   1.26E+02   7.20E+01   6.02E+02
Shale2          1           9   2.54E+00   1.00E+02   7.51E+01   4.00E+02
Shale2          1          10   2.44E+00   1.06E+02   7.95E+01   5.74E+02
Shale2          1          11   2.65E+00   1.07E+02   7.93E+01   6.93E+02
Shale2          1          12   2.53E+00   9.41E+01   6.47E+01   5.18E+02
Shale2          1          13   2.52E+00   1.02E+02   6.50E+01   4.71E+02
Shale2          1          14   2.45E+00   1.04E+02   7.86E+01   6.47E+02
Shale2          1          15   2.55E+00   1.05E+02   7.97E+01   6.31E+02
Shale2          1          16   2.48E+00   1.08E+02   7.01E+01   5.83E+02
Shale2          1          17   2.38E+00   1.12E+02   7.15E+01   4.23E+02
Shale2          1          18   2.49E+00   1.07E+02   6.02E+01   4.95E+02
Shale2          1          19   2.38E+00   1.11E+02   6.86E+01   6.59E+02
Shale2          1          20   2.50E+00   1.04E+02   6.93E+01   5.32E+02
Shale2          1          21   2.58E+00   9.52E+01   6.89E+01   4.71E+02
Shale2          1          22   2.48E+00   1.01E+02   6.51E+01   4.68E+02
Shale2          1          23   2.48E+00   1.22E+02   5.52E+01   5.13E+02
Shale2          1          24   2.50E+00   1.11E+02   6.72E+01   5.61E+02
Shale2          1          25   2.51E+00   1.19E+02   6.65E+01   6.76E+02
Shale2          1          26   2.49E+00   1.02E+02   7.09E+01   5.34E+02
Shale2          1          27   2.48E+00   1.15E+02   6.90E+01   5.30E+02
Shale2          1          28   2.42E+00   1.06E+02   8.07E+01   5.75E+02
Shale2          1          29   2.54E+00   1.08E+02   5.90E+01   4.85E+02
Shale2          1          30   2.50E+00   1.24E+02   7.94E+01   6.12E+02
Shale2          1          31   2.43E+00   1.08E+02   7.90E+01   6.30E+02
Shale2          1          32   2.44E+00   1.20E+02   8.05E+01   4.14E+02
Shale2          1          33   2.35E+00   9.66E+01   6.89E+01   6.47E+02
Shale2          1          34   2.38E+00   1.18E+02   6.11E+01   5.54E+02
Shale2          1          35   2.56E+00   1.41E+02   5.99E+01   6.79E+02
Shale2          1          36   2.56E+00   1.07E+02   5.90E+01   5.58E+02
Shale2          1          37   2.51E+00   1.37E+02   7.21E+01   5.81E+02
Shale2          1          38   2.49E+00   9.95E+01   6.54E+01   4.97E+02
Shale2          1          39   2.49E+00   1.12E+02   7.47E+01   5.76E+02
Shale2          1          40   2.51E+00   9.00E+01   7.45E+01   6.09E+02
Shale2          1          41   2.49E+00   1.04E+02   4.71E+01   5.36E+02
Shale2          1          42   2.49E+00   1.08E+02   8.49E+01   4.78E+02
