Litologia     codigo      prof  RHOB         GR        SP         DT
    
Sandstone       9           1   2.35E+00   1.88E+01   1.03E+02   1.45E+02
Sandstone       9           2   2.26E+00   2.21E+01   1.26E+02   1.52E+02
Sandstone       9           3   2.31E+00   1.80E+01   1.18E+02   1.65E+02
Sandstone       9           4   2.28E+00   1.88E+01   1.18E+02   1.87E+02
Sandstone       9           5   2.37E+00   1.79E+01   1.27E+02   1.66E+02
Sandstone       9           6   2.24E+00   1.98E+01   1.19E+02   1.51E+02
Sandstone       9           7   2.24E+00   2.24E+01   1.30E+02   1.71E+02
Sandstone       9           8   2.36E+00   2.28E+01   1.23E+02   1.86E+02
Sandstone       9           9   2.35E+00   1.82E+01   1.29E+02   1.24E+02
Sandstone       9          10   2.26E+00   1.93E+01   1.36E+02   1.77E+02
Sandstone       9          11   2.45E+00   1.94E+01   1.36E+02   2.14E+02
Sandstone       9          12   2.34E+00   1.71E+01   1.11E+02   1.60E+02
Sandstone       9          13   2.33E+00   1.85E+01   1.11E+02   1.45E+02
Sandstone       9          14   2.27E+00   1.89E+01   1.35E+02   2.00E+02
Sandstone       9          15   2.37E+00   1.90E+01   1.37E+02   1.95E+02
Sandstone       9          16   2.30E+00   1.97E+01   1.20E+02   1.80E+02
Sandstone       9          17   2.21E+00   2.04E+01   1.23E+02   1.31E+02
Sandstone       9          18   2.31E+00   1.94E+01   1.03E+02   1.53E+02
Sandstone       9          19   2.20E+00   2.03E+01   1.18E+02   2.04E+02
Sandstone       9          20   2.32E+00   1.90E+01   1.19E+02   1.64E+02
Sandstone       9          21   2.39E+00   1.73E+01   1.18E+02   1.46E+02
Sandstone       9          22   2.30E+00   1.83E+01   1.12E+02   1.45E+02
Sandstone       9          23   2.30E+00   2.21E+01   9.46E+01   1.59E+02
Sandstone       9          24   2.32E+00   2.02E+01   1.15E+02   1.74E+02
Sandstone       9          25   2.33E+00   2.15E+01   1.14E+02   2.09E+02
Sandstone       9          26   2.31E+00   1.86E+01   1.22E+02   1.65E+02
Sandstone       9          27   2.29E+00   2.10E+01   1.18E+02   1.64E+02
Sandstone       9          28   2.24E+00   1.92E+01   1.38E+02   1.78E+02
Sandstone       9          29   2.35E+00   1.96E+01   1.01E+02   1.50E+02
Sandstone       9          30   2.31E+00   2.25E+01   1.36E+02   1.89E+02
Sandstone       9          31   2.25E+00   1.97E+01   1.35E+02   1.95E+02
Sandstone       9          32   2.26E+00   2.18E+01   1.38E+02   1.28E+02
Sandstone       9          33   2.18E+00   1.76E+01   1.18E+02   2.00E+02
Sandstone       9          34   2.20E+00   2.14E+01   1.05E+02   1.71E+02
Sandstone       9          35   2.37E+00   2.56E+01   1.03E+02   2.10E+02
Sandstone       9          36   2.37E+00   1.94E+01   1.01E+02   1.73E+02
Sandstone       9          37   2.32E+00   2.50E+01   1.24E+02   1.80E+02
Sandstone       9          38   2.31E+00   1.81E+01   1.12E+02   1.54E+02
Sandstone       9          39   2.30E+00   2.05E+01   1.28E+02   1.78E+02
Sandstone       9          40   2.33E+00   1.64E+01   1.28E+02   1.88E+02
Sandstone       9          41   2.31E+00   1.89E+01   8.07E+01   1.66E+02
Sandstone       9          42   2.31E+00   1.97E+01   1.46E+02   1.48E+02
Sandstone       9          43   2.33E+00   2.14E+01   1.38E+02   2.09E+02
Sandstone       9          44   2.32E+00   1.85E+01   1.19E+02   1.53E+02
Sandstone       9          45   2.17E+00   2.08E+01   1.18E+02   1.91E+02
Sandstone       9          46   2.27E+00   1.74E+01   1.16E+02   1.55E+02
Sandstone       9          47   2.33E+00   2.35E+01   1.03E+02   1.94E+02
Sandstone       9          48   2.28E+00   1.65E+01   1.23E+02   1.50E+02
Sandstone       9          49   2.33E+00   1.98E+01   1.36E+02   2.05E+02
Sandstone       9          50   2.37E+00   1.85E+01   1.25E+02   1.57E+02
Sandstone       9          51   2.28E+00   1.93E+01   1.22E+02   1.92E+02
Sandstone       9          52   2.31E+00   1.77E+01   1.18E+02   1.47E+02
Sandstone       9          53   2.29E+00   1.91E+01   1.03E+02   1.86E+02
Sandstone       9          54   2.34E+00   1.84E+01   1.13E+02   1.83E+02
Sandstone       9          55   2.30E+00   2.19E+01   1.24E+02   1.83E+02
Sandstone       9          56   2.34E+00   1.81E+01   1.15E+02   1.88E+02
Sandstone       9          57   2.34E+00   2.05E+01   1.20E+02   1.65E+02
Sandstone       9          58   2.32E+00   1.97E+01   1.23E+02   1.86E+02
Sandstone       9          59   2.28E+00   2.35E+01   1.16E+02   1.79E+02
Sandstone       9          60   2.31E+00   2.05E+01   1.23E+02   1.78E+02
Sandstone       9          61   2.38E+00   2.07E+01   1.24E+02   1.47E+02
Sandstone       9          62   2.26E+00   2.17E+01   1.22E+02   1.88E+02
Sandstone       9          63   2.33E+00   1.97E+01   1.34E+02   1.45E+02
Sandstone       9          64   2.32E+00   2.05E+01   9.34E+01   1.73E+02
Sandstone       9          65   2.35E+00   1.77E+01   1.13E+02   1.75E+02
Sandstone       9          66   2.32E+00   1.78E+01   1.33E+02   1.68E+02
Sandstone       9          67   2.25E+00   2.28E+01   9.01E+01   1.75E+02
Sandstone       9          68   2.25E+00   2.03E+01   1.26E+02   1.69E+02
Sandstone       9          69   2.25E+00   1.86E+01   1.03E+02   1.73E+02
Sandstone       9          70   2.28E+00   1.90E+01   1.18E+02   1.52E+02
Sandstone       9          71   2.32E+00   1.84E+01   1.20E+02   1.75E+02
Sandstone       9          72   2.34E+00   1.72E+01   9.76E+01   1.54E+02
Sandstone       9          73   2.37E+00   1.95E+01   1.18E+02   1.60E+02
Sandstone       9          74   2.30E+00   1.97E+01   1.02E+02   1.21E+02
Sandstone       9          75   2.33E+00   2.09E+01   1.26E+02   1.73E+02
Sandstone       9          76   2.29E+00   1.86E+01   1.25E+02   1.69E+02
Sandstone       9          77   2.27E+00   2.12E+01   1.06E+02   1.68E+02
Sandstone       9          78   2.29E+00   1.97E+01   1.27E+02   1.43E+02
Sandstone       9          79   2.37E+00   2.00E+01   1.21E+02   1.81E+02
Sandstone       9          80   2.32E+00   1.98E+01   1.13E+02   1.53E+02
Sandstone       9          81   2.33E+00   2.04E+01   1.36E+02   1.52E+02
Sandstone       9          82   2.31E+00   1.94E+01   1.24E+02   1.67E+02
Sandstone       9          83   2.27E+00   2.00E+01   1.15E+02   1.78E+02
Sandstone       9          84   2.29E+00   2.09E+01   1.17E+02   2.01E+02
Sandstone       9          85   2.26E+00   1.80E+01   1.14E+02   1.72E+02
Sandstone       9          86   2.33E+00   2.04E+01   1.34E+02   1.48E+02
Sandstone       9          87   2.26E+00   2.21E+01   1.22E+02   1.76E+02
Sandstone       9          88   2.22E+00   2.03E+01   1.25E+02   1.86E+02
Sandstone       9          89   2.33E+00   1.75E+01   1.32E+02   1.29E+02
Sandstone       9          90   2.31E+00   2.13E+01   1.36E+02   1.82E+02
Sandstone       9          91   2.34E+00   1.77E+01   1.30E+02   1.72E+02
Sandstone       9          92   2.27E+00   2.37E+01   1.37E+02   1.69E+02
Sandstone       9          93   2.33E+00   1.79E+01   1.14E+02   1.90E+02
Sandstone       9          94   2.31E+00   2.10E+01   1.17E+02   1.62E+02
Sandstone       9          95   2.31E+00   1.95E+01   1.49E+02   1.58E+02
Sandstone       9          96   2.36E+00   1.58E+01   1.02E+02   1.87E+02
Sandstone       9          97   2.38E+00   2.09E+01   1.18E+02   1.66E+02
Sandstone       9          98   2.32E+00   2.37E+01   1.17E+02   2.02E+02
Sandstone       9          99   2.38E+00   1.59E+01   1.05E+02   1.50E+02
Sandstone       9         100   2.35E+00   2.01E+01   1.17E+02   1.75E+02
Sandstone       9         101   2.32E+00   2.10E+01   1.33E+02   1.74E+02
Sandstone       9         102   2.38E+00   2.08E+01   1.35E+02   1.74E+02
Sandstone       9         103   2.30E+00   1.71E+01   9.18E+01   1.86E+02
Sandstone       9         104   2.33E+00   1.74E+01   1.03E+02   1.50E+02
Sandstone       9         105   2.47E+00   2.09E+01   9.67E+01   1.72E+02
Sandstone       9         106   2.31E+00   2.09E+01   1.17E+02   1.56E+02
Sandstone       9         107   2.27E+00   1.76E+01   9.09E+01   1.87E+02
Sandstone       9         108   2.33E+00   1.74E+01   1.07E+02   1.56E+02
Sandstone       9         109   2.32E+00   2.01E+01   9.73E+01   1.45E+02
Sandstone       9         110   2.30E+00   1.99E+01   1.09E+02   1.65E+02
Sandstone       9         111   2.32E+00   1.84E+01   1.25E+02   1.60E+02
Sandstone       9         112   2.37E+00   1.99E+01   1.35E+02   1.62E+02
Sandstone       9         113   2.21E+00   2.09E+01   1.15E+02   1.61E+02
Sandstone       9         114   2.28E+00   1.76E+01   1.29E+02   1.49E+02
Sandstone       9         115   2.26E+00   1.98E+01   1.35E+02   1.85E+02
Sandstone       9         116   2.36E+00   2.07E+01   1.46E+02   1.62E+02
Sandstone       9         117   2.43E+00   2.00E+01   1.26E+02   1.70E+02
Sandstone       9         118   2.35E+00   1.73E+01   1.30E+02   1.51E+02
Sandstone       9         119   2.36E+00   1.67E+01   1.06E+02   1.52E+02
Sandstone       9         120   2.35E+00   2.24E+01   1.46E+02   1.54E+02
Shale2          1         121   2.52E+00   1.11E+02   6.94E+01   5.56E+02
Shale2          1         122   2.41E+00   1.09E+02   7.06E+01   5.55E+02
Shale2          1         123   2.40E+00   1.09E+02   6.91E+01   5.63E+02
Shale2          1         124   2.43E+00   1.11E+02   6.96E+01   5.56E+02
Shale2          1         125   2.54E+00   1.13E+02   7.01E+01   5.50E+02
Shale2          1         126   2.50E+00   1.11E+02   7.13E+01   5.43E+02
Shale2          1         127   2.43E+00   1.11E+02   7.10E+01   5.57E+02
Shale2          1         128   2.40E+00   1.10E+02   7.10E+01   5.55E+02
Shale2          1         129   2.43E+00   1.10E+02   7.02E+01   5.48E+02
Shale2          1         130   2.52E+00   1.09E+02   7.04E+01   5.52E+02
Shale2          1         131   2.48E+00   1.08E+02   6.96E+01   5.46E+02
Shale2          1         132   2.49E+00   1.09E+02   6.97E+01   5.46E+02
Shale2          1         133   2.43E+00   1.09E+02   6.99E+01   5.49E+02
