Litologia codigo prof RHOB GR SP DT
Sandstone 9 10.0 1.1360061417791336 9.484591586666916 44.74585789126411 91.29374063159399
Sandstone 9 20.0 1.4675044031089355 14.215373037700633 49.88003423182924 112.84847897946736
Sandstone 9 30.0 1.6201936866074802 4.8802064480082805 90.23125468787062 105.51625254661228
Sandstone 9 40.0 1.7163582742744434 15.277672159139495 92.97889296658023 107.34343769121185
Sandstone 9 50.0 2.1127826904411346 22.778261756164742 77.35951208993006 154.24823710037847
Sandstone 9 60.0 1.8262247658228796 8.875308045427314 92.4898902506084 110.94407942852288
Sandstone 9 70.0 2.160097196691515 12.549637767398536 118.2269442528622 157.86656141308356
Sandstone 9 80.0 2.2623720397051073 28.245125221319157 108.15817593642053 148.38885907929512
Sandstone 9 90.0 2.297718276428666 22.37923406437206 114.99974987588885 120.05194408568055
Sandstone 9 100.0 2.2502821778107185 18.13750899345537 127.69304400856004 165.5101299769681
Sandstone 9 110.0 2.2219836619766458 25.81903301867262 125.64646653136049 153.31147811723287
Sandstone 9 120.0 2.3056709045523136 12.657794968692613 112.83228328588676 158.7875091250904
Sandstone 9 130.0 2.2843754429394396 16.153886553960536 125.05572510349099 152.19588897708084
Sandstone 9 140.0 2.272698189914081 18.71358243319613 113.06668639034243 200.65068680826653
Sandstone 9 150.0 2.4503343284254155 12.075500683309588 120.11103845977848 160.09960180141707
Sandstone 9 160.0 2.2323252383766725 18.888595656216502 114.4567729646039 158.03415844113468
Sandstone 9 170.0 2.3485411571022365 20.845829209069937 135.71514317110785 234.88230389393777
Sandstone 9 180.0 2.2268092734563547 24.832248054979885 110.31999945356738 168.52903052657123
Sandstone 9 190.0 2.3505317363238136 24.816709885212376 107.49508623735578 198.9378665073433
Sandstone 9 200.0 2.2878889608331363 15.302672873450113 110.07556710926804 240.8971710894582
Sandstone 9 210.0 2.419710366502434 12.687782999084346 124.3056973824193 168.39905445395294
Sandstone 9 220.0 2.329601572444327 21.901069892349255 124.61969504671931 130.6968032639256
Sandstone 9 230.0 2.3551586939807367 32.25046681437301 123.55146437289781 256.5770293863052
Sandstone 9 240.0 2.3835216683186458 19.27742868130399 121.5780726383931 171.67011515287703
Sandstone 9 250.0 2.281212005838951 13.21465862561384 116.36767283433068 144.35436622183283
Sandstone 9 260.0 2.3694410929470404 17.95716264462203 102.46327233454005 156.62654487339168
Sandstone 9 270.0 2.135009906607335 26.495586270591055 130.6819316200091 161.17066280327404
Sandstone 9 280.0 2.238102808720126 20.928094772834303 109.29874760075684 157.9686417660545
Sandstone 9 290.0 2.3994667970439636 20.61250957815321 106.4563456730456 177.45675312068707
Sandstone 9 300.0 2.2760716339951412 16.098717779564133 98.1449231074404 189.46752602516648
Sandstone 9 310.0 2.2625835345010907 23.93642829736865 120.50515872887337 181.66534923580696
Sandstone 9 320.0 2.2046225057813493 32.32722853425974 119.97465705484765 119.88259295282751
Sandstone 9 330.0 2.2530267696209236 26.666093102321852 131.71421990528603 157.09647557983726
Sandstone 9 340.0 2.320816725990887 14.531693633596328 112.01584675982475 165.62865354481497
Sandstone 9 350.0 2.2853401139811322 20.497983865703212 120.01698683905859 114.13450266961141
Sandstone 9 360.0 2.3529237134583 20.027516255614323 119.15462416110076 190.76469468831695
Sandstone 9 370.0 2.289609283424006 34.7002664016141 126.43618561520236 192.663971321593
Sandstone 9 380.0 2.383270476763953 20.67697513253572 105.31744263729281 127.76205664482885
Sandstone 9 390.0 2.1311978632887696 16.333833844244804 126.60101757150703 172.7374974026801
Sandstone 9 400.0 2.1658785328984687 27.80448591795618 123.7637757510507 222.06818318971526
Sandstone 9 410.0 2.1684759068372914 14.80261248667042 135.41329185540476 180.81848054421397
Sandstone 9 420.0 2.2394994099732486 18.545609763548985 108.22829283666161 137.91419691103115
Sandstone 9 430.0 2.412136894464788 41.11965903727756 128.0364900411294 194.27957353646852
Sandstone 9 440.0 2.1414463690542647 6.685524735312134 135.63147993828764 210.12341586279956
Sandstone 9 450.0 2.389431228235535 18.23297809750681 115.8129589476162 170.7423359638467
Sandstone 9 460.0 2.396569245403645 27.080083370854346 107.3690295298829 189.24877185384412
Sandstone 9 470.0 2.347211205913709 35.044214477248346 131.1784519585292 198.38254026644063
Sandstone 9 480.0 2.2551140777463807 10.507724564544013 117.30687255405707 149.7172291345311
Sandstone 9 490.0 2.3874724348508596 20.73596085345667 117.20191100992969 139.62649668170312
Sandstone 9 500.0 2.3442290334186335 15.6749573713291 124.45816243107927 192.9348407583687
Sandstone 9 510.0 2.2666981409713096 17.912682923584104 113.46726609635442 190.10972210303805
Sandstone 9 520.0 2.414074934425677 11.87990883069871 117.69309305188357 152.89798236839587
Sandstone 9 530.0 2.3088124785948043 22.213438114066516 124.0842757563376 176.98357447247355
Sandstone 9 540.0 2.44178763853098 11.9058296949148 131.82047185134445 177.97520672384366
Sandstone 9 550.0 2.4270324450764407 20.586705982133893 125.71139455881418 171.32470593391585
Sandstone 9 560.0 2.4516391837105025 21.124196110956472 115.34210021307187 180.43344981783125
Sandstone 9 570.0 2.4547412887552116 22.184878591211046 106.09461284108534 144.58279576848943
Sandstone 9 580.0 2.3836003775150334 26.441130155303597 120.09379115135664 157.84884582010775
Sandstone 9 590.0 2.1214435290166254 27.870354037825102 122.04922913396874 175.87298472596657
Sandstone 9 600.0 2.1681429443341647 28.256790903526365 139.55073724602357 204.72430349179115
Sandstone 9 610.0 2.3057560158172166 18.797461120741538 123.00156097734619 141.04403838926916
Sandstone 9 620.0 2.288736159139339 21.48571122263122 120.66200985381772 158.11934836770655
Sandstone 9 630.0 2.382151288449969 19.01221202349452 114.04986658438148 167.5622866988301
Sandstone 9 640.0 2.197137474099413 14.175458843048023 121.04469658566278 173.1741452700781
Sandstone 9 650.0 2.2125931534981396 9.463731960471245 130.47237186958637 129.93843610915965
Sandstone 9 660.0 2.255756840891337 17.298973635504307 132.65373724750287 176.55712516161915
Sandstone 9 670.0 2.2249579633817325 14.598495356348629 112.6338478550554 193.00523559720884
Sandstone 9 680.0 2.3456714263881215 10.935168026915289 120.7386448600361 161.29314349049562
Sandstone 9 690.0 2.260930148566977 17.43824117619448 115.34115972111275 148.73363012718704
Sandstone 9 700.0 2.171917564941937 17.53562482017876 131.4104511783778 190.45145505066068
Sandstone 9 710.0 2.219051369218338 2.93310722622887 113.5511385555899 67.68131829964861
Sandstone 9 720.0 2.36970625989317 11.597352148121125 105.822467689502 135.16549186552706
Sandstone 9 730.0 2.319853844644354 21.084958654098504 121.53683030956603 181.99859995023053
Sandstone 9 740.0 2.301171698130576 27.835664078952355 113.31075031938103 171.01060376922558
Sandstone 9 750.0 2.385638692714415 21.63257035870268 109.55413730081129 128.77031925451178
Sandstone 9 760.0 2.383644167343675 28.746377902221617 104.63860819203626 97.63362992311266
Sandstone 9 770.0 2.4141453978416716 17.44260902159083 132.71534063283863 148.8698621705413
Sandstone 9 780.0 2.3177910219588713 18.3481652645377 129.67920882836955 171.6833587179517
Sandstone 9 790.0 2.3356065711549707 23.62988906454209 124.49487660308297 133.52308365342333
